6b5cA02 1.10.8.60.22 A.198-283
4g9yA00 1.10.10.10.427 A.11-146
2xrnB01 1.10.10.10.428 B.1-64
3cjnA00 1.10.10.10.429 A.15-162
5aipB00 1.10.10.10.430 B.9-145
1qo0D02 1.10.10.10.431 D.145-190
2ipqX01 1.10.10.10.432 X.2-23,45-77
1repC01 1.10.10.10.433 C.15-155
3dkwG02 1.10.10.10.434 G.147-227
4l5jB01 1.10.10.10.435 B.11-64
4fx0A00 1.10.10.10.436 A.2-143
3boqA00 1.10.10.10.437 A.10-152
2nnnC00 1.10.10.10.438 C.8-140
3s2wG00 1.10.10.10.439 G.20-158
3bjaA00 1.10.10.10.440 A.1-139
2ethA00 1.10.10.10.441 A.7-152
2rdpA00 1.10.10.10.442 A.3-149
4gcvC00 1.10.10.10.443 C.11-156
1l0oC00 1.10.10.10.444 C.100-156
1hkqA00 1.10.10.10.445 A.8-132
3k69A00 1.10.10.10.446 A.8-161
1jgsA00 1.10.10.10.447 A.1-138
3lmmB05 1.10.10.10.448 B.513-573
4xrfA00 1.10.10.10.449 A.1-142
3jamZ00 1.10.10.10.450 Z.36-105
3zmdA00 1.10.10.10.451 A.27-174
3cdhA00 1.10.10.10.452 A.10-149
2nyxB01 1.10.10.10.453 B.10-151
3kp7A00 1.10.10.10.454 A.1-151
3bj6B00 1.10.10.10.455 B.2-152
3hruB01 1.10.10.10.456 B.5-138
3e6mA00 1.10.10.10.457 A.11-159
1u78A02 1.10.10.10.458 A.60-104
1u5tB02 1.10.10.10.459 B.96-164
5e1wA00 1.10.10.10.460 A.12-180
4em2A00 1.10.10.10.461 A.1-175
4pcqA01 1.10.10.10.462 A.35-84
2bv6A00 1.10.10.10.463 A.5-140
5dd8A00 1.10.10.10.464 A.8-179
2q2eA01 1.10.10.10.465 A.15-145
2fxaA00 1.10.10.10.466 A.8-169
5eriA00 1.10.10.10.467 A.16-168
2zbkA01 1.10.10.10.468 A.10-158
4m9sB04 1.10.10.10.469 B.373-549
1oywA03 1.10.10.10.470 A.341-516
4u7bA02 1.10.10.10.471 A.70-108
1o7fA02 1.10.10.10.472 A.187-342
3nqoB00 1.10.10.10.473 B.4-189
3gw6D02 1.10.10.10.474 D.108-273
2nraC01 1.10.10.10.475 C.9-166
1x1aA01 1.10.10.10.476 A.23-174,301-325
4q48A03 1.10.10.10.477 A.341-512
1ussA00 1.10.10.10.478 A.1-88
2ma3A00 1.10.10.10.479 A.1-88
2rqpA00 1.10.10.10.480 A.1-88
2aqeA00 1.10.10.10.481 A.1-90
1p4wA00 1.10.10.10.482 A.13-99
2m45A00 1.10.10.10.483 A.1-87
2yu3A01 1.10.10.10.484 A.9-95
2jrtA01 1.10.10.10.485 A.10-95
1ufmA00 1.10.10.10.486 A.1-84
2lsoA00 1.10.10.10.487 A.1-83
1w4mA00 1.10.10.10.488 A.5-99
1p6rA00 1.10.10.10.489 A.1-82
2l02A00 1.10.10.10.490 A.1-82
4izbB02 1.10.12.10.19 B.209-251
4jcsA02 1.10.12.10.20 A.225-286
3g64A02 1.10.12.10.21 A.219-277
3p5mA02 1.10.12.10.22 A.199-255
4z5tE00 1.10.20.10.25 E.42-137
1tafB00 1.10.20.10.26 B.1-70
1kx5D00 1.10.20.10.27 D.4-125
3b0dC00 1.10.20.10.28 C.2-76
3azjG00 1.10.20.10.29 G.19-114
1tafA00 1.10.20.10.30 A.1-68
2yukA00 1.10.30.10.12 A.1-90
1k99A00 1.10.30.10.13 A.1-91
1c3cA03 1.10.40.30.9 A.348-428
4nleA03 1.10.40.30.10 A.379-454
1tj7A03 1.10.40.30.11 A.363-433
2vfrA05 1.10.45.10.2 A.384-421
2p0tA01 1.10.60.30.1 A.25-100
4lpqA01 1.10.101.10.1 A.4-78
1hypA00 1.10.110.10.5 A.6-80
1v9mA01 1.10.132.50.1 A.5-77,282-323
3iayA07 1.10.132.60.1 A.768-919
3k59A07 1.10.132.60.2 A.642-718,719-783
2e1fA01 1.10.150.80.5 A.6-94
1yt3A02 1.10.150.80.6 A.195-293
3cymA03 1.10.150.80.7 A.347-434
4o3mA04 1.10.150.80.8 A.568-652
5c0yA02 1.10.150.80.9 A.307-399
4nlcA02 1.10.150.80.10 A.273-365
4cdgA04 1.10.150.80.11 A.573-657
3safA02 1.10.150.80.12 A.311-410
3cymA02 1.10.150.80.13 A.213-331
4aybF02 1.10.150.80.14 F.48-87
1d8bA00 1.10.150.80.15 A.1-81
1ed1A00 1.10.150.90.1 A.6-119
4jmuA00 1.10.150.90.2 A.7-111
4ic9A00 1.10.150.90.3 A.4-133
1hekA00 1.10.150.90.4 A.1-116
2h3qA01 1.10.150.90.5 A.1-116
1a6sA00 1.10.150.90.6 A.1-87
3b0xA01 1.10.150.110.1 A.1-87
4kliA01 1.10.150.110.2 A.10-91
2bcqA01 1.10.150.110.3 A.12-91
5vzaA01 1.10.150.110.4 A.10-103
3v7jA01 1.10.150.110.5 A.14-96
2w9mB01 1.10.150.110.6 B.6-91
2kp7A01 1.10.150.110.7 A.14-87
6h5hA00 1.10.150.110.8 A.31-101
1n62A02 1.10.150.120.1 A.80-161
5g5gA02 1.10.150.120.2 A.137-226
3an1A02 1.10.150.120.3 A.95-219
3nvwA02 1.10.150.120.4 A.91-164
4usaA02 1.10.150.120.5 A.75-193
4tndA02 1.10.167.10.5 A.74-153
1fqiA01 1.10.196.10.5 A.13-45,125-139
1avcA07 1.10.220.10.21 A.511-599
4mdvB03 1.10.220.10.22 B.190-289
4jxhA01 1.10.220.20.1 A.21-99
4oiyA01 1.10.220.20.2 A.3-83
1xszA01 1.10.220.20.3 A.1-84
3s63A00 1.10.225.10.8 A.1-88
2ibpA02 1.10.230.10.1 A.251-356
1wdcB02 1.10.238.10.84 B.82-149
4cidA03 1.10.238.10.85 A.448-546
3pn7E01 1.10.238.10.86 E.12-86
1uurA03 1.10.238.10.87 A.253-340
3fwbA01 1.10.238.10.88 A.9-90
1ij5A02 1.10.238.10.89 A.81-190
3e3rB01 1.10.238.10.90 B.17-103
1bg1A03 1.10.238.10.91 A.341-462
2pmyA00 1.10.238.10.92 A.19-91
4ociA01 1.10.238.10.93 A.8-73
2aaoB00 1.10.238.10.94 B.7-158
3qrxA02 1.10.238.10.95 A.97-164
3ox6A02 1.10.238.10.96 A.81-153
5w1aB02 1.10.238.10.97 B.83-147
4ygaA04 1.10.238.10.98 A.353-439
4jpzB01 1.10.238.10.99 B.35-146
3ek4A01 1.10.238.10.100 A.46-61,306-412
4f0zB00 1.10.238.10.101 B.7-161
2jc2A02 1.10.238.10.102 A.67-198
4l9mA03 1.10.238.10.103 A.415-490
4ygcH00 1.10.238.10.104 H.31-102
1r6tB02 1.10.240.10.9 B.355-467
6mtkA02 1.10.240.10.10 A.194-297
5z02A00 1.10.245.10.3 A.22-109
1lnsA03 1.10.246.70.1 A.214-225,373-447
6q52A04 1.10.246.80.1 A.360-416
3h3aA04 1.10.246.80.2 A.375-424
3gqxB00 1.10.246.90.1 B.21-149
3cecA00 1.10.260.40.33 A.14-104
2ef8B00 1.10.260.40.34 B.1-83
1e3oC01 1.10.260.40.35 C.5-75
3qq6A00 1.10.260.40.36 A.8-76
2auwB02 1.10.260.40.37 B.88-157
3vk0B00 1.10.260.40.38 B.5-91
4z5hA00 1.10.260.40.39 A.1-72
2ebyA01 1.10.260.40.40 A.7-85
3op9A01 1.10.260.40.41 A.6-73
3g7dA04 1.10.260.40.42 A.206-296
6bq9A03 1.10.268.10.5 A.376-462
2lyiA01 1.10.274.60.1 A.9-156
2k3oA00 1.10.274.60.2 A.1-129
2qveA01 1.10.275.10.11 A.1-193
1c3cA01 1.10.275.10.12 A.1-91
2wscG00 1.10.286.40.2 G.73-167
3dsqA01 1.10.287.540.8 A.8-69
2rjzA01 1.10.287.540.9 A.2-37
3rg0A03 1.10.287.540.10 A.291-323
2hepA00 1.10.287.540.11 A.1-42
1p49A02 1.10.287.550.1 A.157-215
1b3qA01 1.10.287.560.1 A.1-62
1bzkA00 1.10.287.570.1 A.2-43
1m93A00 1.10.287.580.1 A.1-46
1jjoA00 1.10.287.580.2 A.1-40
4i4tB03 1.10.287.600.1 B.374-428
4i4tC03 1.10.287.600.2 C.384-440
5iyzB03 1.10.287.600.3 B.374-430
3cb2A03 1.10.287.600.4 A.382-442
2btoA03 1.10.287.600.5 A.379-432
2btqB03 1.10.287.600.6 B.374-426
5tt5A01 1.10.287.610.1 A.21-81
5fpoA01 1.10.287.610.2 A.3-61
1ta8A01 1.10.287.610.3 A.5-68
2vqeB02 1.10.287.610.4 B.98-153
4toiA02 1.10.287.610.5 A.106-153
1zauA01 1.10.287.610.6 A.8-77
2b5uA02 1.10.287.620.1 A.293-453
3bpzA01 1.10.287.630.1 A.5-70
4d7sA01 1.10.287.630.2 A.1-67
3b40A02 1.10.287.650.1 A.274-331
1vf6A00 1.10.287.650.2 A.5-62
1vf6C00 1.10.287.650.3 C.12-62
1rsoB00 1.10.287.650.4 B.1-56
1y74A00 1.10.287.650.5 A.1-57
1zl8B00 1.10.287.650.6 B.1-54
3csxA00 1.10.287.660.1 A.18-78
3qf7A02 1.10.287.660.2 A.163-191,192-231
3csxB00 1.10.287.660.3 B.8-78
1skvA00 1.10.287.660.4 A.2-65
2f66F00 1.10.287.660.5 F.14-76
3b2eF00 1.10.287.660.6 F.14-75
3sjaC00 1.10.287.660.7 C.1-61
1nt2B02 1.10.287.660.8 B.72-138
3icxA01 1.10.287.660.9 A.2-36,89-128
3qg5A02 1.10.287.660.10 A.163-187,202-231
2cazF00 1.10.287.660.11 F.22-75
1x4tA01 1.10.287.660.12 A.22-79
1ojhA00 1.10.287.670.1 A.5-56
3cs5A00 1.10.287.670.2 A.12-59
2q8vB00 1.10.287.670.3 B.12-62
1wpbG01 1.10.287.680.1 G.5-58
4lr3A01 1.10.287.680.2 A.1-54
3qexA04 1.10.287.690.1 A.469-572
4khnB04 1.10.287.690.2 B.469-572
1mpgA02 1.10.340.30.11 A.113-230
1ornA01 1.10.340.30.12 A.25-136
3b81A00 1.10.357.10.67 A.7-200
2eh3A02 1.10.357.10.68 A.51-172
3anpB00 1.10.357.10.69 B.10-203
2o7tA00 1.10.357.10.70 A.3-187
3ppbA00 1.10.357.10.71 A.8-195
2optA02 1.10.357.10.72 A.67-220
3lhqB00 1.10.357.10.73 B.5-214
3ccyA02 1.10.357.10.74 A.57-203
2qkoA00 1.10.357.10.75 A.27-215
4mxmA00 1.10.357.10.76 A.1-202
3c2bA02 1.10.357.10.77 A.67-216
2qibB00 1.10.357.10.78 B.14-228
3knwB00 1.10.357.10.79 B.15-201
3lsjA02 1.10.357.10.80 A.54-208
2hyjA02 1.10.357.10.81 A.54-200
3bjbD00 1.10.357.10.82 D.23-204
4ph2A00 1.10.375.10.3 A.1-127
4k90A02 1.10.390.10.5 A.202-389
6au6A02 1.10.400.10.2 A.72-186
1vg0A03 1.10.405.10.5 A.271-369
6b9hA00 1.10.418.10.14 A.11-161
1sh5A01 1.10.418.10.15 A.11-114
1aoaA02 1.10.418.10.16 A.139-274
4txiA03 1.10.418.10.17 A.507-614
3hdlA02 1.10.420.10.5 A.139-282
4yj4A00 1.10.437.10.9 A.1-198
2vtyA00 1.10.437.10.10 A.30-182
1ohuA00 1.10.437.10.11 A.4-175
4hstA01 1.10.439.10.2 A.14-164
3vcfA00 1.10.443.10.6 A.4-163
3g33B01 1.10.472.10.28 B.37-54,168-268
1zp2A01 1.10.472.10.29 A.2-18,131-228
3m03B00 1.10.472.10.30 B.1-95
2f2cA02 1.10.472.10.31 A.149-254
1zp2A02 1.10.472.10.32 A.19-130
1c9bA01 1.10.472.10.33 A.4-100
4ceiA05 1.10.486.10.3 A.618-779
6o0aA01 1.10.490.10.26 A.18-166
2wtgA00 1.10.490.10.27 A.2-159
3wfwA00 1.10.490.10.28 A.1-138
1gdjA00 1.10.490.10.29 A.1-153
4c0nA00 1.10.490.10.30 A.2-151
2bkmA00 1.10.490.10.31 A.1-128
3pt8A00 1.10.490.10.32 A.2-152
1werA01 1.10.506.10.3 A.93-268
4m68A02 1.10.510.10.60 A.96-277
4l68A02 1.10.510.10.61 A.117-335
4lv5A01 1.10.510.10.62 A.5-26,170-368
4i5pA02 1.10.510.10.63 A.114-286
4ylkA02 1.10.510.10.64 A.91-97,117-357
4euuA02 1.10.510.10.65 A.91-309
5vd8A02 1.10.510.10.66 A.70-74,94-285
3p1aA02 1.10.510.10.67 A.137-311
5b2lA02 1.10.510.10.68 A.99-302
3pg1A02 1.10.510.10.69 A.116-342
4ow8A02 1.10.510.10.70 A.99-283
2yleA00 1.10.510.10.71 A.27-229
5v5nA02 1.10.510.10.72 A.83-306
1zy4A02 1.10.510.10.73 A.101-302
2ac3A02 1.10.510.10.74 A.93-300
3vliA01 1.10.520.10.9 A.53-182,403-414
3rrwB01 1.10.520.10.10 B.4-163,234-255
1ltmA02 1.10.530.10.15 A.68-126,207-320
1am7A00 1.10.530.10.16 A.1-154
6gi4B00 1.10.530.10.17 B.2-191
6bzhC02 1.10.533.10.21 C.103-194
6bzhD01 1.10.533.10.22 D.5-102
4uz0A00 1.10.533.10.23 A.5-95
4f42A00 1.10.533.10.24 A.2-85
4d8oA04 1.10.533.10.25 A.499-574
4qobA00 1.10.533.10.26 A.3-89
3mpiA01 1.10.540.10.17 A.3-123
1w07A01 1.10.540.10.18 A.17-132
4iv6B01 1.10.540.10.19 B.6-121
3iugB00 1.10.555.10.6 B.20-221
1pbwB00 1.10.555.10.7 B.12-206
3rtkA01 1.10.560.10.4 A.61-135,409-515
4rzfA00 1.10.565.10.16 A.12-248
1mznA00 1.10.565.10.17 A.5-236
4lnwA00 1.10.565.10.18 A.2-264
5zm0A03 1.10.579.10.1 A.306-491
3lk5A00 1.10.600.10.22 A.9-370
3tc1B00 1.10.600.10.23 B.1-305
6oh6A00 1.10.600.10.24 A.10-320
3kroD00 1.10.600.10.25 D.1-295
4okmD00 1.10.600.10.26 D.7-348
3chtA00 1.10.620.20.9 A.24-331
3ee4A00 1.10.620.20.10 A.11-299
2xkrA00 1.10.630.10.25 A.4-398
3dskB00 1.10.630.10.26 B.25-489
6gmfA00 1.10.630.10.27 A.1-397
3zpiA00 1.10.630.10.28 A.31-426
5tl8A00 1.10.630.10.29 A.10-459
5xjnA00 1.10.630.10.30 A.52-454
2wqgA00 1.10.720.30.6 A.1-51
1v66A00 1.10.720.30.7 A.1-65
2outA02 1.10.720.30.8 A.91-131
3zgzA04 1.10.730.10.8 A.641-817
3fnrA01 1.10.730.10.9 A.3-27,335-454
1dw0A00 1.10.760.10.26 A.1-112
2zxyA00 1.10.760.10.27 A.1-86
1kb0A02 1.10.760.10.28 A.581-675
4aanA02 1.10.760.10.29 A.34-181,320-341
3vrdA02 1.10.760.10.30 A.79-174
4j20A00 1.10.760.10.31 A.1-88
3hakA00 1.10.790.10.2 A.1-103
3cf6E05 1.10.840.10.3 E.442-691
3gxvB00 1.10.860.10.4 B.1-123
5wkrA02 1.10.890.20.1 A.59-87,193-215
1tzvA00 1.10.940.10.2 A.1-141
3ghyA02 1.10.1040.10.26 A.198-327
3g0oA02 1.10.1040.10.27 A.173-293
5je8B02 1.10.1040.10.28 B.171-298
4dllB02 1.10.1040.10.29 B.189-318
3ckyA02 1.10.1040.10.30 A.167-300
4e21B02 1.10.1040.10.31 B.202-351
3fo3A02 1.10.1130.10.3 A.63-417
1jd5A00 1.10.1170.10.5 A.14-118
2afdA00 1.10.1200.10.31 A.1-88
2my5A00 1.10.1200.10.32 A.1-89
2pngA01 1.10.1200.10.33 A.1-72
2n5hA00 1.10.1200.10.34 A.1-90
2l22A01 1.10.1200.10.35 A.22-112
2mr7A00 1.10.1200.10.36 A.1-91
2l22A02 1.10.1200.10.37 A.113-204
2ju1A00 1.10.1200.10.38 A.1-95
4fxeA00 1.10.1220.10.17 A.2-69
4me7E00 1.10.1220.10.18 E.7-84
1u9pA00 1.10.1220.10.19 A.7-107
4hv0C00 1.10.1220.10.20 C.3-100
2fmmE00 1.10.1240.40.2 E.1-118
3m1mA03 1.10.1240.50.1 A.226-335
3quvB02 1.10.1270.20.3 B.170-235
5or3A00 1.10.1280.10.5 A.5-383
1zklA00 1.10.1300.10.5 A.10-326
5m0yB02 1.10.1330.10.3 B.103-164
3ahnB00 1.10.1370.30.1 B.2-564
1gk9B03 1.10.1400.10.1 B.291-451
1px5A02 1.10.1410.20.1 A.161-346
3thxB03 1.10.1420.10.7 B.318-470,599-629
2qvwA04 1.10.1520.10.7 A.288-434
1z2iA01 1.10.1530.10.5 A.9-73,331-358
1r8eA02 1.10.1660.10.8 A.3-75
3gp4B00 1.10.1660.10.9 B.2-131
1xqoA01 1.10.1670.10.8 A.2-26,162-254
2jhnA03 1.10.1670.10.9 A.234-295
3t0yA01 1.10.1740.10.15 A.14-79
4aysA01 1.10.1740.10.16 A.20-90
3cxbA03 1.10.1740.30.1 A.193-250,305-327
4tkrA00 1.10.1760.20.6 A.31-213
4uqwB00 1.10.1780.10.4 B.3-163
1h99A01 1.10.1790.10.2 A.11-114
2o3lB00 1.10.1900.10.3 B.2-82
3q1xA01 1.10.3130.10.1 A.26-164
3rf0A00 1.10.3210.10.15 A.2-200
4mz7A01 1.10.3210.10.16 A.26-365
3mzoB00 1.10.3210.10.17 B.3-212
3memA02 1.10.3210.10.18 A.145-454
5jffA00 1.10.3290.10.6 A.34-222
4f92B04 1.10.3380.10.3 B.581-722
2cwyA00 1.10.3450.10.2 A.2-94
3rlfG01 1.10.3720.10.2 G.11-283
5bu5A01 1.20.5.340.2 A.60-156
6h9mA00 1.20.5.340.3 A.23-116
4zkpA01 1.20.5.340.4 A.59-160
3vp9B00 1.20.5.340.5 B.14-90
1wt6B00 1.20.5.340.6 B.5-71
1x79B00 1.20.5.340.7 B.3-92
4o9bC00 1.20.5.340.8 C.8-99
1d7mA00 1.20.5.340.9 A.1-101
3hrnA00 1.20.5.340.10 A.2-64
2fxmB00 1.20.5.340.11 B.16-127
2qihA00 1.20.5.340.12 A.17-152
3ojaB03 1.20.5.340.13 B.503-582
4i1lA00 1.20.5.340.14 A.18-79
4n78D01 1.20.5.340.15 D.15-85
3p8cD01 1.20.5.340.16 D.21-85
2jeeA00 1.20.5.340.17 A.3-81
2pohF01 1.20.5.340.18 F.2-143
5ktbB01 1.20.5.340.19 B.13-82
3o0zB00 1.20.5.340.20 B.9-160
5ktbA01 1.20.5.340.21 A.20-82
4y99C01 1.20.5.350.1 C.31-148
4y99B00 1.20.5.350.2 B.17-90
1ytzT00 1.20.5.350.3 T.4-93
1j1eF00 1.20.5.350.4 F.10-161
1m7lA00 1.20.5.360.1 A.1-40
3mudA02 1.20.5.370.1 A.122-175
5chxA02 1.20.5.370.2 A.122-179
4xa4A02 1.20.5.370.3 A.122-177
5wj7A02 1.20.5.370.4 A.121-174
1ik9B02 1.20.5.370.5 B.119-201
1z56B00 1.20.5.370.6 B.156-231
2ykoA01 1.20.5.390.1 A.7-50
1jocA01 1.20.5.390.2 A.3-62
3brvB00 1.20.5.390.3 B.8-68
3l4fC00 1.20.5.390.4 C.1-53
3eq2A02 1.20.5.390.5 A.111-163
3cl3E00 1.20.5.390.6 E.54-111
1no4B00 1.20.5.400.1 B.1-75
4npdA00 1.20.5.420.1 A.1-58
4gofA00 1.20.5.420.2 A.1-52
2rklF00 1.20.5.420.3 F.2-53
4npfX01 1.20.5.420.4 X.2-56
1zw0C00 1.20.5.420.5 C.1-58
5c39A00 1.20.5.420.6 A.1-51
3qwoC00 1.20.5.420.7 C.1-53
3zdmB00 1.20.5.420.8 B.2-51
1x0tA01 1.20.5.420.9 A.4-64
4kjmA02 1.20.5.420.10 A.74-128
4k35A04 1.20.5.420.11 A.675-724
3fxdC00 1.20.5.420.12 C.4-53
2wmmA01 1.20.5.420.13 A.1-24,138-162
4kjmB01 1.20.5.420.14 B.1-73
2q1kA00 1.20.5.420.15 A.14-65
3zdmA00 1.20.5.420.16 A.2-70
2i8dA02 1.20.5.420.17 A.84-115
2qvaA02 1.20.5.420.18 A.146-198
2jmsA01 1.20.50.40.1 A.17-63
3a7mA01 1.20.58.380.4 A.2-111
6hzwA02 1.20.58.390.1 A.197-315
5osaA02 1.20.58.390.2 A.196-315
3rqwA02 1.20.58.390.3 A.201-317
1oedA00 1.20.58.390.4 A.1-227
2bg9A02 1.20.58.390.5 A.211-306,307-370
2lkgA00 1.20.58.390.6 A.1-140
3onjA00 1.20.58.400.1 A.1-97
2qywA00 1.20.58.400.2 A.8-102
1vcsA00 1.20.58.400.3 A.1-102
1gqeA01 1.20.58.410.1 A.4-116
2ihr101 1.20.58.410.2 1.6-111
4idoA02 1.20.58.420.1 A.342-442
1z8uC00 1.20.58.420.2 C.1-91
1r8iA00 1.20.58.430.1 A.8-194
1w9rA00 1.20.58.440.1 A.1-119
4didB01 1.20.58.450.1 B.29-142
2jiwA03 1.20.58.460.1 A.411-593
2xj7B03 1.20.58.460.2 B.411-715
2v5cA03 1.20.58.460.3 A.464-593
2nw8B00 1.20.58.480.1 B.21-290
2v7kA02 1.20.58.480.2 A.134-359
4u72A01 1.20.58.480.3 A.15-31,160-237,263-406
2nwbA02 1.20.58.480.4 A.147-396
4pw8D01 1.20.58.480.5 D.25-201,253-367
2p9bA04 1.20.58.520.1 A.294-370,435-449
2v26A05 1.20.58.530.1 A.459-597,634-657
1vomA04 1.20.58.530.2 A.458-590,621-647
1lvkA05 1.20.58.530.3 A.463-590,627-648
1br2A04 1.20.58.530.4 A.471-676
1e1hB01 1.20.58.540.1 B.8-110
1miwA03 1.20.58.560.1 A.241-340
3aa0B01 1.20.58.570.1 B.2-89
2fp1B00 1.20.59.10.8 B.3-166
5h3gA00 1.20.80.10.6 A.2-94
3flvA00 1.20.80.10.7 A.22-113
2fcwA00 1.20.81.10.1 A.1-106
1mc2A00 1.20.90.10.1 A.1-122
2nsfA01 1.20.120.450.4 A.21-179
2f22A00 1.20.120.450.5 A.1-142
2qe9B01 1.20.120.450.6 B.13-170
1rxqD00 1.20.120.450.7 D.10-178
4n6cB00 1.20.120.450.8 B.3-183
2oqmB01 1.20.120.450.9 B.15-183
2hkvA01 1.20.120.450.10 A.1-141
3cexA00 1.20.120.450.11 A.3-172
3di5A00 1.20.120.450.12 A.3-151
3qthB00 1.20.120.450.13 B.1-173
2ou6A00 1.20.120.450.14 A.3-185
2p1aB01 1.20.120.450.15 B.1-146
2yqyA00 1.20.120.450.16 A.9-166
2rd9B01 1.20.120.450.17 B.10-190
3dkaB01 1.20.120.450.18 B.6-145
2hjmA01 1.20.120.460.1 A.6-91
2okuA00 1.20.120.470.1 A.1-122
2qupA00 1.20.120.490.1 A.24-145
2p61A00 1.20.120.490.2 A.36-155
2i15A02 1.20.120.510.1 A.45-135
2p0nA00 1.20.120.520.1 A.12-172
3u9jA00 1.20.120.520.2 A.4-160
3caxA01 1.20.120.520.3 A.5-221
3sxmA00 1.20.120.530.1 A.1-140
1hw1A02 1.20.120.530.2 A.80-230
3ihuA02 1.20.120.530.3 A.82-220
3c7jA02 1.20.120.530.4 A.92-237
4p9fA02 1.20.120.530.5 A.71-214
2hs5A02 1.20.120.530.6 A.94-233
2di3B02 1.20.120.530.7 B.77-231
5tpmB00 1.20.120.530.8 B.1-141
3behA01 1.20.120.540.1 A.7-125
4al0A00 1.20.120.550.1 A.7-152
3pcvA00 1.20.120.550.2 A.1-146
4bpmA00 1.20.120.550.3 A.8-169
2q7rC00 1.20.120.550.4 C.2-149
2z1qB04 1.20.140.10.27 B.442-577
2or0A03 1.20.140.10.28 A.227-411
2ix5A03 1.20.140.10.29 A.277-432
5k3hB04 1.20.140.10.30 B.487-619
2yykA03 1.20.140.10.31 A.267-477
1u8vB03 1.20.140.10.32 B.278-490
4rm7A03 1.20.140.10.33 A.242-382
1i5pA02 1.20.190.10.5 A.30-263
2ptrA02 1.20.200.10.5 A.118-381,446-459
1sxjE03 1.20.272.10.7 E.258-354
1jr3D02 1.20.272.10.8 D.214-338
2l9uA00 1.20.890.10.6 A.1-40
4gouA03 1.20.900.10.8 A.177-373
4rajA00 1.20.910.10.9 A.18-233
3mvuA00 1.20.910.10.10 A.3-226
3bjdA02 1.20.910.10.11 A.105-329
5epbA00 1.20.920.10.22 A.1-130
5n17A01 1.20.920.10.23 A.23-126
5uiyA00 1.20.920.10.24 A.8-114
6neyA00 1.20.920.10.25 A.6-130
3lqhA02 1.20.920.10.26 A.66-173
1wjtA00 1.20.930.10.5 A.1-103
4lq3A04 1.20.960.20.7 A.389-511
5olnB01 1.20.970.10.5 B.1-69
2dsjA01 1.20.970.10.6 A.1-67
5gxuB02 1.20.990.10.2 B.285-416
3lypA02 1.20.1050.10.46 A.87-192
4bvxA02 1.20.1050.10.47 A.75-179
5f06A02 1.20.1050.10.48 A.86-208
2yv9B02 1.20.1050.10.49 B.110-230,269-286
