3h4jA03 1.10.8.10.29 A.276-331
5deqB02 1.10.10.10.115 B.146-228
3neuA01 1.10.10.10.116 A.5-79
2pg4A00 1.10.10.10.117 A.3-93
3g73A00 1.10.10.10.118 A.14-103
3k2zB01 1.10.10.10.119 B.2-66
3df8A00 1.10.10.10.120 A.1-109
2o3fA00 1.10.10.10.121 A.5-86
3eyiB00 1.10.10.10.122 B.1-67
1xsvA00 1.10.10.10.123 A.8-113
6blbA03 1.10.10.10.124 A.264-341
2ff4A01 1.10.10.10.125 A.8-106
3qu3B01 1.10.10.10.126 B.14-128
4ou0A00 1.10.10.10.127 A.6-71
3e97A02 1.10.10.10.128 A.147-224
2p8tA01 1.10.10.10.129 A.14-82,192-199
2co5A00 1.10.10.10.130 A.5-96
2d1hB00 1.10.10.10.131 B.5-109
3o2pE00 1.10.10.10.132 E.3-88
1opcA00 1.10.10.10.133 A.8-106
1stzA01 1.10.10.10.134 A.14-98
3h92A00 1.10.10.10.135 A.7-91
3jtgA01 1.10.10.10.136 A.5-89
4ixaB00 1.10.10.10.137 B.2-101
4kibA01 1.10.10.10.138 A.25-123
1z6tA04 1.10.10.10.139 A.366-450
3fx3B02 1.10.10.10.140 B.141-235
4gyiA01 1.10.10.10.141 A.3-95
2z99A01 1.10.10.10.142 A.9-95
3p9cA01 1.10.10.10.143 A.13-116
2qq9A01 1.10.10.10.144 A.3-73
4ivnA01 1.10.10.10.145 A.6-81
1t6sB02 1.10.10.10.146 B.86-162
3lfkD00 1.10.10.10.147 D.7-116
1hsjB03 1.10.10.10.148 B.371-456
3qp6A02 1.10.10.10.149 A.187-264
4pzjA00 1.10.10.10.150 A.2-70
6az6A01 1.10.10.10.151 A.5-79
1bjaA00 1.10.10.10.152 A.1-95
4yiiA00 1.10.10.10.153 A.15-86
3w6kC00 1.10.10.10.154 C.4-92
3pqkA00 1.10.10.10.155 A.4-102
4hyeA02 1.10.10.10.156 A.152-220
2ve8D01 1.10.10.10.157 D.6-66
2fmyA02 1.10.10.10.158 A.137-218
1fc3B00 1.10.10.10.159 B.2-116
3m8eA00 1.10.10.10.160 A.5-122
4rs8A00 1.10.10.10.161 A.1-84
2h6bA02 1.10.10.10.162 A.146-226,227-250
1ub9A00 1.10.10.10.163 A.1-100
3go5A04 1.10.10.10.164 A.223-285
3dp7B01 1.10.10.10.165 B.6-98
3v4gA01 1.10.10.10.166 A.30-94
2pq8A03 1.10.10.10.167 A.182-253
2wteA02 1.10.10.10.168 A.148-219
3fm3A02 1.10.10.10.169 A.251-330
3htuA00 1.10.10.10.170 A.5-79
3wg9B01 1.10.10.10.171 B.4-77
2gwrA02 1.10.10.10.172 A.126-228
2pbiA01 1.10.10.10.173 A.9-112
4mtdD01 1.10.10.10.174 D.2-89
1a04A02 1.10.10.10.175 A.128-214
4d0pA02 1.10.10.10.176 A.323-386
1fnnB03 1.10.10.10.177 B.277-388
1jhfA02 1.10.10.10.178 A.2-70
2r7dA01 1.10.10.10.179 A.3-71
4wcgA00 1.10.10.10.180 A.37-97
2fswA00 1.10.10.10.181 A.6-107
2fokA02 1.10.10.10.182 A.302-388
2r3sB01 1.10.10.10.183 B.3-83
1lddA00 1.10.10.10.184 A.1-74
1yg2A01 1.10.10.10.185 A.2-89
2di3A01 1.10.10.10.186 A.2-76
4cxfA02 1.10.10.10.187 A.123-189
2zj2A03 1.10.10.10.188 A.407-490
3sxyA01 1.10.10.10.189 A.14-77
2o0yC01 1.10.10.10.190 C.6-79
2vxzA01 1.10.10.10.191 A.5-70
4a6dA01 1.10.10.10.192 A.1-94
2e1nA00 1.10.10.10.193 A.13-122
1ulyA01 1.10.10.10.194 A.2-90
3edpA01 1.10.10.10.195 A.7-84
3w6jE02 1.10.10.10.196 E.83-175
3moyA02 1.10.12.10.6 A.206-263
6ojmA02 1.10.12.10.7 A.224-274
4wczA02 1.10.12.10.8 A.219-272
5kjpA02 1.10.12.10.9 A.208-265
4izdB02 1.10.12.10.10 B.209-260
4c1nA01 1.10.15.40.1 A.1-57
4ne3A00 1.10.20.10.7 A.1-93
4csrB00 1.10.20.10.8 B.13-94
4wv4B00 1.10.20.10.9 B.5-97
5y0dA00 1.10.20.10.10 A.42-137
2hueC00 1.10.20.10.11 C.2-83
1kx5B00 1.10.20.10.12 B.1-102
3tq6B02 1.10.30.10.4 B.112-193
1qrvA00 1.10.30.10.5 A.1-73
2hdzA00 1.10.30.10.6 A.4-69
4admA03 1.10.40.30.3 A.430-485
2qgaB03 1.10.40.30.4 B.382-447
2h09A02 1.10.60.10.3 A.95-150
5domA00 1.10.110.10.2 A.4-122
4kddA01 1.10.132.20.1 A.1-30,106-184
4oydB00 1.10.132.20.2 B.1-117
4l8iB00 1.10.132.20.3 B.1-112
1qh4A01 1.10.135.10.2 A.5-101
5yuyA03 1.10.150.20.32 A.176-230
3c1yA03 1.10.150.20.33 A.313-375
1a76A02 1.10.150.20.34 A.209-268
2ztdA02 1.10.150.20.35 A.81-148
4dezA03 1.10.150.20.36 A.168-239
2zj8A04 1.10.150.20.37 A.644-700
2vanA01 1.10.150.20.38 A.1-58
2a1jB01 1.10.150.20.39 B.18-86
2va8A04 1.10.150.20.40 A.655-710
1bvsA02 1.10.150.20.41 A.66-148
2a1jA00 1.10.150.20.42 A.2-63
4dsfA04 1.10.150.20.43 A.373-516
1tk5A04 1.10.150.20.44 A.472-583
3px4A04 1.10.150.20.45 A.373-516
4m6wA02 1.10.150.20.46 A.153-220
3gqcA03 1.10.150.20.47 A.314-367
4f92B05 1.10.150.20.48 B.723-779
2dflA01 1.10.150.20.49 A.13-72
5m59A11 1.10.150.20.50 A.1587-1651
5cb1A02 1.10.150.20.51 A.74-136
2zubB01 1.10.150.20.52 B.21-70
4yfkA03 1.10.150.20.53 A.263-325
1aroP05 1.10.150.20.54 P.554-784
1b22A00 1.10.150.20.55 A.16-85
1z00B00 1.10.150.20.56 B.1-84
2m9nA00 1.10.150.20.57 A.3-63
2mutA00 1.10.150.20.58 A.1-96
1ci4A00 1.10.150.40.1 A.2-89
1ji7A00 1.10.150.50.1 A.1-77
2y9uA00 1.10.150.50.2 A.3-69
1pk1B00 1.10.150.50.3 B.11-80
2es0A00 1.10.167.10.2 A.2-130
3c7lB01 1.10.196.10.2 B.11-42,123-137
4cfsA02 1.10.210.20.1 A.142-211
1yiiA01 1.10.220.10.6 A.13-85
2hyvA02 1.10.220.10.7 A.74-153
2hyvA03 1.10.220.10.8 A.154-234
2zhjA03 1.10.220.10.9 A.163-248
2ii2A02 1.10.220.10.10 A.75-132
4uexA00 1.10.225.10.3 A.2-82
3rfiA00 1.10.225.10.4 A.5-108
2egdB00 1.10.238.10.21 B.6-96
5h0pA00 1.10.238.10.22 A.17-118
1exrA02 1.10.238.10.23 A.81-147
1ncxA01 1.10.238.10.24 A.1-90
3nxaB00 1.10.238.10.25 B.2-98
1topA02 1.10.238.10.26 A.76-162
2be4A02 1.10.238.10.27 A.84-184
3k21A02 1.10.238.10.28 A.47-114
2opoC00 1.10.238.10.29 C.2-86
1g4yR01 1.10.238.10.30 R.1-80
1wlzA01 1.10.238.10.31 A.8-87
1qx2A00 1.10.238.10.32 A.2-76
1eg3A03 1.10.238.10.33 A.75-165
1ggzA01 1.10.238.10.34 A.5-80
3pm8B02 1.10.238.10.35 B.37-51,121-196
1g33A00 1.10.238.10.36 A.1-73
3kheA01 1.10.238.10.37 A.3-114
2qacA01 1.10.238.10.38 A.3-81
1y1aA01 1.10.238.10.39 A.1-96
2r2iA02 1.10.238.10.40 A.84-170
3cs1A01 1.10.238.10.41 A.17-125
2posA00 1.10.239.10.2 A.1-94
5n5uA02 1.10.240.10.3 A.197-309
6ncrA02 1.10.240.10.4 A.203-310
1kxpD03 1.10.246.10.6 D.212-299
5oswA06 1.10.246.10.7 A.494-571
1kxpD01 1.10.246.10.8 D.7-111
5oswA05 1.10.246.10.9 A.382-493
1kxpD04 1.10.246.10.10 D.315-391
2hinA00 1.10.260.40.3 A.1-66
2b5aA00 1.10.260.40.4 A.1-77
2ictA01 1.10.260.40.5 A.2-82
2xi8A00 1.10.260.40.6 A.1-66
4ybaA00 1.10.260.40.7 A.5-81
3f52A00 1.10.260.40.8 A.22-98
3kz3A00 1.10.260.40.9 A.1-80
3zhiA00 1.10.260.40.10 A.3-75
1zs4C00 1.10.260.40.11 C.5-83
3eusB00 1.10.260.40.12 B.8-84
3qx3A04 1.10.268.10.2 A.632-754
1y2mA03 1.10.274.20.1 A.546-648
4c5sC03 1.10.274.20.2 C.518-623
3gzhA01 1.10.275.10.4 A.14-143
6ig5A01 1.10.275.10.5 A.27-124,196-235
2o6yC01 1.10.275.10.6 C.8-202
2g8lA02 1.10.285.20.1 A.81-145
4uqfG01 1.10.286.10.3 G.16-67
1tfeA02 1.10.286.20.1 A.56-100
3ukmA01 1.10.287.70.29 A.8-83,90-271
1fs0G02 1.10.287.80.1 G.1-40,182-230
2dw4A03 1.10.287.80.2 A.235-350
1ohhG00 1.10.287.80.3 G.1-272
2ck3G01 1.10.287.80.4 G.1-25,232-267
2qe7G01 1.10.287.80.5 G.3-49,217-266
2r9iA00 1.10.287.80.6 A.5-75
1mabG00 1.10.287.80.7 G.1-270
5b1aB01 1.10.287.90.1 B.2-91
2gsmB01 1.10.287.90.2 B.10-105
2yevB01 1.10.287.90.3 B.19-111
6giqb01 1.10.287.90.4 b.16-111
1fftB01 1.10.287.90.5 B.27-113
3w7tA02 1.10.287.100.1 A.233-271
1nvpB00 1.10.287.100.2 B.8-50
1nh2B00 1.10.287.100.3 B.2-47
3by6A02 1.10.287.100.4 A.78-120
1s3jB03 1.10.287.100.5 B.99-142
3e35A02 1.10.287.100.6 A.233-276
2p90A02 1.10.287.100.7 A.230-274
2hr3B03 1.10.287.100.8 B.98-145
4hamA02 1.10.287.100.9 A.81-134
3ic7A02 1.10.287.100.10 A.78-125
4rwuA00 1.10.287.110.1 A.4-84
1fpoA01 1.10.287.110.2 A.1-79
3ucsC00 1.10.287.110.3 C.1-74
3uo2A01 1.10.287.110.4 A.1-87
2qwoB00 1.10.287.110.5 B.1-92
4j7zF00 1.10.287.110.6 F.1-100
3apqB01 1.10.287.110.7 B.1-92
2guzA00 1.10.287.110.8 A.1-71
2qsaA00 1.10.287.110.9 A.2-102
2guzB00 1.10.287.110.10 B.1-65
4wb7A01 1.10.287.110.11 A.1-56
2pf4E01 1.10.287.110.12 E.1-71
3bvoB01 1.10.287.110.13 B.12-115
2pf4G01 1.10.287.110.14 G.1-92
2y4tA02 1.10.287.110.15 A.393-444
2yuaA01 1.10.287.110.16 A.17-91
2dn9A01 1.10.287.110.17 A.7-79
2l6lA01 1.10.287.110.18 A.1-90
2ys8A00 1.10.287.110.19 A.1-90
2ctqA01 1.10.287.110.20 A.19-112
1iurA01 1.10.287.110.21 A.13-75
1n4cA01 1.10.287.110.22 A.51-179
1vibA00 1.10.287.120.1 A.1-55
4qpkA01 1.10.287.130.1 A.36-111
5b1nA00 1.10.287.130.2 A.11-69
3bulA04 1.10.288.10.2 A.288-347
1i7dA04 1.10.290.10.2 A.290-416
3hidA02 1.10.300.10.2 A.102-201
2xhiA03 1.10.340.30.3 A.151-276
1kg2A02 1.10.340.30.4 A.21-132
4b21A02 1.10.340.30.5 A.57-173
2v57A00 1.10.357.10.18 A.13-188
3cjdA00 1.10.357.10.19 A.10-198
4jkzA00 1.10.357.10.20 A.16-194
2hytA00 1.10.357.10.21 A.5-197
2id6A02 1.10.357.10.22 A.49-202
2rasA01 1.10.357.10.23 A.6-196
4udsA00 1.10.357.10.24 A.13-204
2genA00 1.10.357.10.25 A.8-195
3bhqA00 1.10.357.10.26 A.7-208
1vi0A02 1.10.357.10.27 A.52-196
4jykA02 1.10.357.10.28 A.70-212
3frqB00 1.10.357.10.29 B.7-190
2nx4C00 1.10.357.10.30 C.8-194
2w53B00 1.10.357.10.31 B.13-216
2id3A02 1.10.357.10.32 A.84-225
4mo7A02 1.10.357.10.33 A.71-212
3mvpA02 1.10.357.10.34 A.69-217
6ea2A03 1.10.390.10.2 A.284-454
1s3eA03 1.10.405.10.2 A.108-199
5bvrA01 1.10.418.10.4 A.8-120
2wa7A01 1.10.418.10.5 A.15-129
2qjxA00 1.10.418.10.6 A.11-127
1gwuA02 1.10.420.10.2 A.140-285
1pq1A00 1.10.437.10.3 A.1-196
2wh6A00 1.10.437.10.4 A.15-171
1pmiA02 1.10.441.10.2 A.153-263,305-329
5c6kB00 1.10.443.10.3 B.118-285
1rssA00 1.10.455.10.2 A.7-151
2wjnC01 1.10.468.10.2 C.24-142,314-332
1vsgA02 1.10.470.10.2 A.34-85,256-362
5xs2B02 1.10.472.10.8 B.19-150
1guxB00 1.10.472.10.9 B.10-150
2r7gA02 1.10.472.10.10 A.185-345
6gu2B01 1.10.472.10.11 B.13-26,139-271
3o0gD00 1.10.472.10.12 D.1-149
2w96A01 1.10.472.10.13 A.6-40,154-265
4rocA01 1.10.472.10.14 A.6-108
2ciwA00 1.10.489.10.2 A.2-299
2bk9A00 1.10.490.10.7 A.1-153
1jf3A00 1.10.490.10.8 A.1-147
2wy4A00 1.10.490.10.9 A.2-140
1tu9A00 1.10.490.10.10 A.4-134
1b0bA00 1.10.490.10.11 A.2-142
1q1fA00 1.10.490.10.12 A.3-150
4gv1A02 1.10.510.10.15 A.94-288
6gqqA02 1.10.510.10.16 A.114-311
6egeD02 1.10.510.10.17 D.107-299
4nfnA02 1.10.510.10.18 A.100-303
4aaaA02 1.10.510.10.19 A.108-319
2izrA02 1.10.510.10.20 A.88-302
6hmqA01 1.10.510.10.21 A.21-39,131-347
2a2aA02 1.10.510.10.22 A.99-305
2w5aA02 1.10.510.10.23 A.46-68,90-279
4i92A02 1.10.510.10.24 A.108-300
2yexA02 1.10.510.10.25 A.98-270
3kk8A02 1.10.510.10.26 A.87-284
4g3fA02 1.10.510.10.27 A.132-334
4ualA02 1.10.510.10.28 A.162-364
3s95A02 1.10.510.10.29 A.89-310
5jhxB03 1.10.520.10.3 B.457-612,737-761
5aogA01 1.10.520.10.4 A.8-147,284-304
4kt3A00 1.10.530.10.5 A.29-177
3cb7A00 1.10.530.10.6 A.1-126
4qdnA00 1.10.530.10.7 A.1-136
3ct5A00 1.10.530.10.8 A.1-159
3qf2A00 1.10.533.10.6 A.3-92
4i16A00 1.10.533.10.7 A.3-92
4izaB00 1.10.533.10.8 B.1-95
2nz7A00 1.10.533.10.9 A.6-98
4o9lA00 1.10.533.10.10 A.2-97
3p4tA01 1.10.540.10.5 A.24-142
4p13A01 1.10.540.10.6 A.3-121
4l1fA01 1.10.540.10.7 A.1-120
4u83C01 1.10.540.10.8 C.6-125
3msxB00 1.10.555.10.2 B.10-201
1sx3A01 1.10.560.10.1 A.1-134,410-525
3b0tA00 1.10.565.10.5 A.1-254
3ollA00 1.10.565.10.6 A.2-238
1nq7A00 1.10.565.10.7 A.1-244
5aphA00 1.10.565.10.8 A.15-266
1b25A02 1.10.569.10.2 A.239-416
4cxpA00 1.10.575.10.2 A.1-264
2ifcA01 1.10.580.10.2 A.17-224,329-364
1aorA03 1.10.599.10.2 A.212-241,428-604
5c05B02 1.10.600.10.7 B.247-559
4mc3A00 1.10.600.10.8 A.4-310
4dhdA00 1.10.600.10.9 A.3-337
3v1vA00 1.10.600.10.10 A.109-433
2z4vA00 1.10.600.10.11 A.4-339
3bb0A02 1.10.606.10.2 A.179-579
4m1hB00 1.10.620.20.3 B.13-348
3mjoA00 1.10.620.20.4 A.1-296
5m0nA00 1.10.630.10.7 A.6-428
2wm5A00 1.10.630.10.8 A.8-435
2cibA00 1.10.630.10.9 A.5-449
3ivyA00 1.10.630.10.10 A.20-427
4l6gA00 1.10.630.10.11 A.2-398
6f8aA00 1.10.630.10.12 A.1-394
3nt1A02 1.10.640.10.2 A.42-552
1b4uA00 1.10.700.10.2 A.8-139
3l0oA01 1.10.720.10.3 A.4-52
2hjqA02 1.10.720.10.4 A.47-99
2d5bA03 1.10.730.10.2 A.337-500
5xgqA03 1.10.730.10.3 A.347-521
2c9wA02 1.10.750.20.1 A.130-165
3cp5A00 1.10.760.10.8 A.9-124
4n0kA00 1.10.760.10.9 A.1-108
4ljiB00 1.10.760.10.10 B.3-133
3m97X00 1.10.760.10.11 X.1-140
1h32B00 1.10.760.10.12 B.1-138
1cxcA00 1.10.760.10.13 A.1-124
3tk2A00 1.10.800.10.2 A.12-288
4wxpA03 1.10.820.10.2 A.252-272,305-451
6cbrB00 1.10.860.10.1 B.12-166
1k1vA00 1.10.880.10.2 A.1-41
4xvvA00 1.10.890.10.1 A.1-77
2l3xA00 1.10.950.10.2 A.1-67
4jxhA02 1.10.1000.11.2 A.100-215
2dpmA02 1.10.1020.10.2 A.65-167
1t36A04 1.10.1030.10.2 A.404-522
1zcjA03 1.10.1040.10.8 A.217-353
6e8yB02 1.10.1040.10.9 B.193-349
1vpdA02 1.10.1040.10.10 A.169-299
5ayvA02 1.10.1040.10.11 A.172-296
5g6rB02 1.10.1040.10.12 B.160-291
2cvzA02 1.10.1040.10.13 A.158-289
1fkaD01 1.10.1050.10.2 D.49-100,195-209
4uwhA03 1.10.1070.11.2 A.409-595
1m0wA03 1.10.1080.10.2 A.64-115,323-355
3cx5G00 1.10.1090.10.2 G.1-126
5bn3A04 1.10.1140.10.2 A.425-566
1j09A02 1.10.1160.10.2 A.238-322
1se0A00 1.10.1170.10.2 A.10-106
4h2wC00 1.10.1200.10.8 C.20-97
4neoA00 1.10.1200.10.9 A.6-88
2cgqA00 1.10.1200.10.10 A.26-99
4mrtC00 1.10.1200.10.11 C.7-83
4h2uD00 1.10.1200.10.12 D.26-103
5czdB00 1.10.1200.10.13 B.4-80
3lmoA00 1.10.1200.10.14 A.2-95
2hzaA01 1.10.1220.10.5 A.2-47
2wvfA01 1.10.1220.10.6 A.17-54
2gpeD01 1.10.1220.10.7 D.11-49
1y9bB01 1.10.1220.10.8 B.6-49
2i2xB01 1.10.1240.10.4 B.22-121
3ezxA01 1.10.1240.10.5 A.1-86
3whpA01 1.10.1240.10.6 A.86-164
3korB00 1.10.1270.10.2 B.2-118
3wkyA02 1.10.1280.10.2 A.132-412
1y2kA00 1.10.1300.10.2 A.22-347
4iuwA02 1.10.1380.10.2 A.33-331,385-424
2hhpA01 1.10.1410.10.3 A.4-39,196-352
4m5dA01 1.10.1410.10.4 A.81-115,298-307,356-518
1wb9A04 1.10.1420.10.3 A.400-535
2o8bB04 1.10.1420.10.4 B.570-702
2m7zA00 1.10.1450.10.2 A.1-81
4z49A02 1.10.1470.20.1 A.123-212
1koyA00 1.10.1490.10.2 A.1-62
5yrvC02 1.10.1510.20.1 C.45-137
3rv1B02 1.10.1520.10.3 B.85-244
3c4bA01 1.10.1520.10.4 A.3-198
4h8aA01 1.10.1530.10.2 A.3-68,308-339
1pujA02 1.10.1580.10.2 A.180-272
1jeyB03 1.10.1600.10.2 B.444-545
4hdrD01 1.10.1610.10.2 D.1-54,316-334
3o58e00 1.10.1620.10.2 e.3-50
6es5B00 1.10.1630.10.2 B.1-50
1vwxR01 1.10.1650.10.2 R.2-56
3ucsA00 1.10.1660.10.2 A.3-101
3gpvA00 1.10.1660.10.3 A.16-128
1pu6A01 1.10.1670.10.2 A.2-21,145-218
3n0uC01 1.10.1670.10.3 C.12-44,154-219
3mw6B00 1.10.1710.10.2 B.23-116
3czgA01 1.10.1740.10.5 A.6-90
1q0qA03 1.10.1740.10.6 A.320-406
1r0kC03 1.10.1740.10.7 C.302-388
4zn6A03 1.10.1740.10.8 A.320-406
1l8qA03 1.10.1750.10.2 A.216-324
4dveC00 1.10.1760.20.2 C.12-198
4m5bA00 1.10.1760.20.3 A.1-214
3wdcA00 1.10.1780.10.1 A.1-147
4wmeB03 1.10.1840.10.2 B.201-304
2kslA00 1.10.2010.20.1 A.1-51
3iylB02 1.10.2050.10.2 B.251-269,505-619
6mcjA00 1.10.2090.10.2 A.5-149
2b9vA02 1.10.3020.10.2 A.200-275
1nktA04 1.10.3060.10.2 A.674-865
3orgA01 1.10.3080.10.2 A.3-444
3h38A02 1.10.3090.10.2 A.160-424
1s4kA00 1.10.3100.10.2 A.1-120
2ivdA03 1.10.3110.10.2 A.113-140,149-212
1zxjA01 1.10.3120.10.2 A.14-211
2yykA01 1.10.3140.10.2 A.2-138
4y97D00 1.10.3200.20.1 D.3-180
2hekA01 1.10.3210.10.4 A.1-281
1vqrB00 1.10.3210.10.5 B.18-293
3kh1A00 1.10.3210.10.6 A.3-200
1vt0k00 1.10.3230.20.1 k.6-150
1hw8A01 1.10.3270.10.2 A.28-115
3shgA00 1.10.3290.10.3 A.1-198
2o70B00 1.10.3330.10.2 B.2-165
2o35A00 1.10.3340.10.2 A.4-82
4npxA00 1.10.3350.10.2 A.36-115
3mp7A00 1.10.3370.10.2 A.26-470
2otaA00 1.10.3390.10.2 A.7-73
2pgsA03 1.10.3410.10.2 A.241-353
3nl9A00 1.10.3420.10.2 A.3-171
1u7gA00 1.10.3430.10.2 A.3-385
2qi9A00 1.10.3470.10.2 A.2-324
2xolB00 1.10.3480.10.2 B.1-172
3psfA03 1.10.3500.10.2 A.272-513,658-702,990-1019
2pgsA02 1.10.3550.10.2 A.114-149,354-436
2gttC01 1.10.3570.10.2 C.37-230
2gttJ02 1.10.3610.10.2 J.233-447
2im9A01 1.10.3670.10.2 A.26-135,319-330
2ou3A01 1.10.3680.10.2 A.3-156
3bgeA02 1.10.3710.10.2 A.100-125,128-187
3jysA03 1.10.3780.10.2 A.274-349
3hzsA00 1.10.3810.10.2 A.1-209
5lm4A00 1.10.3860.10.2 A.39-486
1xs8A01 1.10.3880.10.2 A.1-75
2k5eA00 1.10.3910.10.2 A.1-73
2a9gA02 1.10.3930.10.2 A.72-156
5hxgB00 1.10.4000.10.2 B.5-69
4dl8A00 1.10.4010.10.2 A.10-290
4bhxB00 1.10.4020.10.2 B.2-93
1m5yA01 1.10.4030.10.2 A.5-128
5muxF01 1.10.4100.10.2 F.2-276,416-469
2jokA01 1.10.4120.10.2 A.3-177
4wy4C00 1.20.5.110.22 C.1-78
1t3jA00 1.20.5.110.23 A.35-96
2npsD00 1.20.5.110.24 D.18-80
1nhlA00 1.20.5.110.25 A.1-54
2ymyB00 1.20.5.110.26 B.1-41
3kyqA02 1.20.5.110.27 A.142-193
4jf7B01 1.20.5.110.28 B.13-65
3m0dC00 1.20.5.110.29 C.2-64
3htkB00 1.20.5.110.30 B.1-73
1sfcH00 1.20.5.110.31 H.13-84
3vopC00 1.20.5.110.32 C.22-64
2h8pD00 1.20.5.110.33 D.1-43
3ojaB02 1.20.5.110.34 B.454-502
1l4aA00 1.20.5.110.35 A.9-74
4jf7A01 1.20.5.110.36 A.9-50
2pp6A01 1.20.5.110.37 A.1-24
3hd7E00 1.20.5.110.38 E.1-90
3hd7B00 1.20.5.110.39 B.10-107
1vwxL02 1.20.5.110.40 L.166-211
4gnsA01 1.20.5.110.41 A.41-67
2kogA00 1.20.5.110.42 A.4-119
1avoA00 1.20.5.120.1 A.1-60
2a2bA00 1.20.5.130.1 A.1-41
1ohnA00 1.20.5.130.2 A.1-43
2p1jA02 1.20.5.140.1 A.151-176
2p1jB02 1.20.5.140.2 B.151-176
1m56D00 1.20.5.160.1 D.10-51
2ynzC01 1.20.5.170.1 C.3-57
2w6aB00 1.20.5.170.2 B.7-62
3vn0B00 1.20.5.170.3 B.1-49
5apsA00 1.20.5.170.4 A.31-93
4gkgA00 1.20.5.170.5 A.16-67
1gk6A00 1.20.5.170.6 A.2-56
2p67A01 1.20.5.170.7 A.2-53
3mgnA00 1.20.5.170.8 A.2-46
4aycA01 1.20.5.170.9 A.1-53
4aqrD00 1.20.5.170.10 D.1-57
3uiaA00 1.20.5.170.11 A.1-53
3he5B00 1.20.5.170.12 B.1-48
3swfA00 1.20.5.170.13 A.4-59
4m3lC00 1.20.5.170.14 C.2-58
3he5A00 1.20.5.170.15 A.2-48
1jnmA00 1.20.5.170.16 A.1-56
4i2lC00 1.20.5.170.17 C.1-41
4c7nB00 1.20.5.170.18 B.1-51
4jnuA00 1.20.5.170.19 A.1-40
2yo2A03 1.20.5.170.20 A.114-162
3ntnA02 1.20.5.170.21 A.169-220
2e42A00 1.20.5.170.22 A.10-74
3m91A00 1.20.5.170.23 A.7-51
3p32A01 1.20.5.170.24 A.31-76
1j2jB00 1.20.5.170.25 B.3-43
3nmdA00 1.20.5.170.26 A.19-71
1gu4A00 1.20.5.170.27 A.10-75
5vpcA00 1.20.5.170.28 A.12-66
2xv5A00 1.20.5.170.29 A.2-58
1gd2F00 1.20.5.170.30 F.7-70
4edgA03 1.20.50.20.2 A.260-319
1hs7A00 1.20.58.70.6 A.1-97
4zeyA00 1.20.58.80.1 A.1-84
5lb7B00 1.20.58.80.2 B.3-80
4wzxA01 1.20.58.80.3 A.18-92
5fvkA00 1.20.58.80.4 A.1-82
4u7iA00 1.20.58.80.5 A.3-95
3zssA02 1.20.58.80.6 A.129-207
4a5xA00 1.20.58.80.7 A.11-83
2e2aC00 1.20.58.80.8 C.1-104
2w2uA00 1.20.58.80.9 A.9-83
4it4A02 1.20.58.80.10 A.125-215
3k1sB00 1.20.58.80.11 B.6-109
2a9uA01 1.20.58.80.12 A.16-141
2xzeB00 1.20.58.80.13 B.2-139
2mpkA00 1.20.58.80.14 A.1-74
2ic6A00 1.20.58.90.1 A.5-75
1z0pA00 1.20.58.90.2 A.1-77
1zkeA00 1.20.58.90.3 A.3-83
2xtlA04 1.20.58.90.4 A.300-363
4dndA00 1.20.58.90.5 A.27-130
4b6xA00 1.20.58.90.6 A.22-90
4l0rB00 1.20.58.90.7 B.33-105
3p7iA03 1.20.58.90.8 A.260-313
