1h6uA01 1.10.8.390.1 A.1-43
4ragA02 1.10.10.430.1 A.295-367
4fqgB03 1.10.10.440.1 B.124-189
4fqgA01 1.10.10.440.2 A.1-62
4fqgA02 1.10.10.440.3 A.63-123
2k85A00 1.10.10.440.4 A.5-69
2kfdA00 1.10.10.440.5 A.5-69
1uzcA00 1.10.10.440.6 A.3-71
2kisA00 1.10.10.440.7 A.1-71
2b7eA00 1.10.10.440.8 A.1-59
2kiqA00 1.10.10.440.9 A.5-61
2cqnA00 1.10.10.440.10 A.1-77
2doeA00 1.10.10.440.11 A.1-83
2e71A00 1.10.10.440.12 A.1-83
2lksA00 1.10.10.440.13 A.3-46
3omyA00 1.10.10.450.1 A.2-52
1ekeB02 1.10.10.460.1 B.176-222
1io2A02 1.10.10.460.2 A.162-208
1iv8A04 1.10.10.470.1 A.460-556
2f48A03 1.10.10.480.1 A.318-392
1m1eB01 1.10.10.490.1 B.9-54
1mijA00 1.10.10.500.1 A.1-152
1svmA01 1.10.10.510.1 A.16-105
2v9pA01 1.10.10.510.2 A.1-76
1tt5B02 1.10.10.520.1 B.204-280
3kydB02 1.10.10.520.2 B.171-199,242-386
1y8qD02 1.10.10.520.3 D.168-382
2icwG02 1.10.10.530.1 G.125-213
2f4mB00 1.10.10.540.1 B.1-61
2qsfX01 1.10.10.540.2 X.28-82
1oqyA03 1.10.10.540.3 A.235-292
3cuqC01 1.10.10.570.1 C.4-101
1xb4B01 1.10.10.570.2 B.1-125
5xnsC00 1.10.10.580.1 C.1-70
1w1wE00 1.10.10.580.2 E.40-118
1uj8A00 1.10.10.600.1 A.4-76
1y0nA00 1.10.10.610.1 A.1-78
2jrmA00 1.10.10.620.1 A.1-60
2i5uA00 1.10.10.630.1 A.1-77
2zc2A00 1.10.10.630.2 A.4-78
2qguA02 1.10.10.640.1 A.74-116,173-207
3bzcA01 1.10.10.650.1 A.1-114
3psfA02 1.10.10.650.2 A.104-255
3clqA03 1.10.10.660.1 A.42-111
5b66C02 1.10.10.670.1 C.286-381
1xmxA03 1.10.10.680.1 A.164-252
1z67A00 1.10.10.690.1 A.6-134
3ermB00 1.10.10.710.1 B.22-85
1wz2A05 1.10.10.720.1 A.866-917
4mouC02 1.10.12.10.31 C.235-294
3tlfA02 1.10.12.10.32 A.217-274
4jvtA02 1.10.12.10.33 A.250-290
3fduA02 1.10.12.10.34 A.204-249
6ae8A00 1.10.20.10.43 A.2-183
1q9cA01 1.10.20.10.44 A.15-169
2ly8A00 1.10.20.10.45 A.1-121
2l5aA00 1.10.20.10.46 A.11-235
3eg5B01 1.10.20.40.1 B.15-55
3ip4C01 1.10.20.60.1 C.3-46
1wz6A01 1.10.30.10.18 A.10-69
1wgfA01 1.10.30.10.19 A.26-78
1t9hA03 1.10.40.50.1 A.240-307
2yv5A03 1.10.40.50.2 A.233-302
3ci0K02 1.10.40.60.1 K.74-186
5fxdA04 1.10.45.10.5 A.472-526
3a52A02 1.10.60.40.2 A.274-358
3kr3D00 1.10.100.10.3 D.5-64
3d2yA02 1.10.101.10.4 A.178-261
1s6dA01 1.10.110.10.10 A.10-94
1pnbB00 1.10.110.10.11 B.1-75
4lmoA00 1.10.132.70.3 A.4-254
3p9aF00 1.10.132.80.1 F.6-139
3sjrB00 1.10.132.90.1 B.50-175
3l5kA02 1.10.150.240.29 A.44-111
2hcfA02 1.10.150.240.30 A.20-87
3qnmA02 1.10.150.240.31 A.18-107
2b0cA02 1.10.150.240.32 A.23-88
3umgA02 1.10.150.240.33 A.44-114
1swvA02 1.10.150.240.34 A.24-101
3d6jA02 1.10.150.240.35 A.21-87
2go7A02 1.10.150.240.36 A.18-84
2w43A02 1.10.150.240.37 A.15-71
2fdrA02 1.10.150.240.38 A.19-85
4uw9A02 1.10.150.240.39 A.13-95
2nyvA02 1.10.150.240.40 A.18-81
3s6jE02 1.10.150.240.41 E.21-89
2mu2A00 1.10.150.240.42 A.16-86
1x6iB00 1.10.150.250.1 B.4-90
6c12D00 1.10.150.250.2 D.15-100
1puzA00 1.10.150.250.3 A.1-82
2lm4A01 1.10.150.250.4 A.18-109
2o6kB00 1.10.150.260.1 B.4-77
2fj6A01 1.10.150.260.2 A.1-72
2kvsA00 1.10.150.260.3 A.1-80
2i5hA02 1.10.150.280.1 A.90-187
2eduA01 1.10.150.280.2 A.18-98
2p35A02 1.10.150.290.1 A.134-157,194-239
2dbyA03 1.10.150.300.1 A.113-202
5ee0A03 1.10.150.300.2 A.136-224
1jalA03 1.10.150.300.3 A.120-200
3bzcA04 1.10.150.310.1 A.503-634
5b66U01 1.10.150.320.1 U.8-93
2duyA00 1.10.150.320.2 A.11-75
1htjF00 1.10.167.10.10 F.26-207
4pniA01 1.10.167.10.11 A.30-179,473-533
6faiI03 1.10.168.20.1 I.107-163
2ebzA01 1.10.196.10.8 A.3-39,121-151
5ysnA02 1.10.220.70.1 A.55-141
2oy9A01 1.10.220.80.1 A.14-89
1ygmA01 1.10.220.90.1 A.16-105
2vxgA02 1.10.220.100.1 A.51-135
1q8dA00 1.10.220.110.1 A.1-108
1of9A00 1.10.225.10.11 A.1-77
2ifcA02 1.10.230.10.4 A.225-328
1wlmA01 1.10.238.10.147 A.13-115
2m0rA00 1.10.238.10.148 A.1-104
1j7qA00 1.10.238.10.149 A.1-86
2m7lA01 1.10.238.10.150 A.1-86
1jbaA01 1.10.238.10.151 A.11-93
1yx7A00 1.10.238.10.152 A.1-83
5jolA00 1.10.238.10.153 A.1-82
2kbiA01 1.10.238.10.154 A.19-97
2y4qA00 1.10.238.10.155 A.1-79
2jnfA01 1.10.238.10.156 A.8-81
1jfjA02 1.10.238.10.157 A.64-134
2f33A01 1.10.238.10.158 A.3-73
2hf5A00 1.10.238.10.159 A.1-68
1tizA00 1.10.238.10.160 A.1-67
2m7lA02 1.10.238.10.161 A.87-144
2g2bA01 1.10.238.10.162 A.1-139
1jfkA02 1.10.238.10.163 A.64-113
2kldA01 1.10.238.10.164 A.61-106
1nyaA00 1.10.238.10.165 A.1-176
2lvvA00 1.10.238.10.166 A.1-220
3r72A00 1.10.238.20.1 A.1-122
2g36A02 1.10.240.10.15 A.200-306
2j5bA02 1.10.240.10.16 A.224-345
1uhrA00 1.10.245.10.6 A.1-93
5xluA02 1.10.246.130.4 A.271-392
3mhsB00 1.10.246.140.1 B.5-95
4dhxB00 1.10.246.140.2 B.9-99
2kbzA00 1.10.246.150.1 A.1-99
2hsgA01 1.10.260.40.63 A.2-60
1ic8A01 1.10.260.40.64 A.3-96
3zkcA00 1.10.260.40.65 A.2-62
3h5tA01 1.10.260.40.66 A.7-53
3r1fQ00 1.10.260.40.67 Q.6-121
5k98B00 1.10.260.40.68 B.7-77
1neqA00 1.10.260.40.69 A.1-74
2kpjA01 1.10.260.40.70 A.1-70
1wh6A01 1.10.260.40.71 A.17-101
2jvlA01 1.10.260.40.72 A.23-107
4fm9A05 1.10.268.10.8 A.584-760
2vk9A04 1.10.274.80.1 A.395-498
1twfA05 1.10.274.100.1 A.511-663
1dofA02 1.10.275.10.17 A.2-94
1xl7A01 1.10.275.20.1 A.11-81,504-535
3vejB00 1.10.286.70.1 B.1-41
2az0B00 1.10.287.1060.19 B.2-72
2de0X01 1.10.287.1060.20 X.46-112
4gzrC00 1.10.287.1060.21 C.9-69
1y6xA00 1.10.287.1080.1 A.7-93
2q73C00 1.10.287.1080.2 C.1-91
1vmgA00 1.10.287.1080.3 A.14-95
4qgpB00 1.10.287.1080.4 B.6-112
3craB01 1.10.287.1080.5 B.4-127
2oieD00 1.10.287.1080.6 D.1-108
2p06B00 1.10.287.1080.7 B.17-104
2yxhA00 1.10.287.1080.8 A.2-114
1yvwA00 1.10.287.1080.9 A.4-95
5ie9A00 1.10.287.1080.10 A.1-103
3crcA01 1.10.287.1080.11 A.4-99
3craA02 1.10.287.1080.12 A.131-262
1ufiC01 1.10.287.1090.1 C.7-49
1ufiD01 1.10.287.1090.2 D.7-48
3d36C01 1.10.287.1100.1 C.4-37
1w59A01 1.10.287.1110.1 A.3-37
1yf2A02 1.10.287.1120.1 A.165-228,376-418
1ydxA02 1.10.287.1120.2 A.164-207,352-396
2lgqA00 1.10.287.1130.1 A.1-67
1hp8A00 1.10.287.1130.2 A.7-74
1u97A00 1.10.287.1130.3 A.1-69
1u96A01 1.10.287.1130.4 A.27-60
1xouA00 1.10.287.1140.1 A.31-190
2yicA01 1.10.287.1150.1 A.7-86
4k35A03 1.10.287.1170.1 A.356-396,398-426
3hl8A04 1.10.287.1240.1 A.421-475
4rg8A04 1.10.287.1240.2 A.462-523
3o8mA01 1.10.287.1250.1 A.14-76
3o6wA01 1.10.287.1250.2 A.19-76
2yhxA01 1.10.287.1250.3 A.1-57
5ajiB01 1.10.287.1260.1 B.27-128
3udcA01 1.10.287.1260.2 A.13-127
3v5wA01 1.10.287.1270.1 A.36-78,159-185,513-553
3nynA02 1.10.287.1270.2 A.38-73,155-180,503-532
5eehA02 1.10.287.1350.1 A.130-180,306-329
6clxA02 1.10.287.1350.2 A.120-169,296-321
1s5jA05 1.10.287.1390.1 A.692-823
3hq1B02 1.10.287.1400.1 B.369-429
6neqN01 1.10.287.1480.1 N.28-118
6dzkN01 1.10.287.1480.2 N.1-90
4jpsB02 1.10.287.1490.1 B.134-292
3l4qC00 1.10.287.1490.2 C.8-170
5dxhB00 1.10.287.1490.3 B.27-147
4iloA00 1.10.287.1490.4 A.1-236
3na7A00 1.10.287.1490.5 A.1-237
3iylU02 1.10.287.1520.1 U.329-381
2ofkA00 1.10.340.30.17 A.2-183
3lcnB00 1.10.340.40.1 B.4-100
2hxoA02 1.10.357.10.115 A.79-235
2np3A00 1.10.357.10.116 A.35-211
2of7A02 1.10.357.10.117 A.91-230
2f07B00 1.10.357.10.118 B.1-196
2i10B02 1.10.357.10.119 B.68-115,120-198
1ui6A00 1.10.357.10.120 A.4-212
3vibA00 1.10.357.10.121 A.8-209
3aqtA00 1.10.357.10.122 A.40-240
3dcfA02 1.10.357.10.123 A.73-218
2zcxA00 1.10.357.10.124 A.19-223
2pz9A00 1.10.357.10.125 A.30-216
3s5rB00 1.10.357.10.126 B.10-205
3cdlB02 1.10.357.10.127 B.61-203
3e7qA00 1.10.357.10.128 A.2-209
3o60A00 1.10.357.10.129 A.3-184
5dajD00 1.10.357.10.130 D.7-205
1em9B00 1.10.375.10.6 B.1-147
6fhpD00 1.10.390.10.10 D.1-62
4wz9A02 1.10.390.10.11 A.254-507
4fidA02 1.10.400.10.5 A.34-147
2b9wA02 1.10.405.20.1 A.78-195
2d87A01 1.10.418.10.26 A.6-113
1wymA01 1.10.418.10.27 A.13-144
1euvA01 1.10.418.20.1 A.8-65,171-217
3eayA01 1.10.418.20.2 A.17-73,254-320
2vcnA02 1.10.420.10.8 A.143-249
1k3kA00 1.10.437.10.18 A.1-146
1o0lA00 1.10.437.10.19 A.1-188
1ddbA00 1.10.437.10.20 A.1-195
4e57A02 1.10.439.10.5 A.54-164
3sqiA02 1.10.443.20.2 A.104-401
5gvcA02 1.10.460.10.3 A.174-238,495-615
3djbA01 1.10.472.50.4 A.2-99
2in3A02 1.10.472.60.1 A.52-174
3qwlA03 1.10.472.80.1 A.158-293
2qq8A03 1.10.472.80.2 A.183-326
4nc6A03 1.10.472.80.3 A.142-294
4hl4A02 1.10.472.80.4 A.158-291
1w36B04 1.10.486.10.6 B.583-728
1or4B00 1.10.490.10.47 B.21-178
4bjaA00 1.10.490.10.48 A.19-215
2ig3A00 1.10.490.10.49 A.1-127
1ithA00 1.10.490.10.50 A.1-141
1x9fC00 1.10.490.10.51 C.3-151
1hlbA00 1.10.490.10.52 A.2-158
1xg0C00 1.10.490.20.1 C.3-177
3bxjB03 1.10.506.10.6 B.211-429
4g31A02 1.10.510.10.105 A.97-286
4jrnA01 1.10.510.10.106 A.5-28,177-366
2wntA02 1.10.510.10.107 A.66-84,103-319
2pmlX02 1.10.510.10.108 X.125-348
3is5F02 1.10.510.10.109 F.104-285
4oavB02 1.10.510.10.110 B.304-568
3uqcD02 1.10.510.10.111 D.115-267
4gyiA03 1.10.510.10.112 A.196-343
3p86A02 1.10.510.10.113 A.118-298
4azsA03 1.10.510.10.114 A.325-486
1kobA02 1.10.510.10.115 A.132-374
3vwaA02 1.10.510.10.116 A.91-233
3alnC02 1.10.510.10.117 C.104-227,228-312
3i1aA02 1.10.510.10.118 A.106-143,202-272
2qkwB02 1.10.510.10.119 B.119-317
4gkfA00 1.10.520.30.3 A.15-160
2zcaB00 1.10.520.40.1 B.2-159
1swyA00 1.10.530.40.1 A.1-164
1xjuA00 1.10.530.40.2 A.1-158
2anvA00 1.10.530.40.3 A.1-146
2mn4A00 1.10.533.10.39 A.7-100
2yu0A00 1.10.533.10.40 A.1-94
2km6A00 1.10.533.10.41 A.3-98
1pn5A00 1.10.533.10.42 A.59-151
2d96A01 1.10.533.10.43 A.1-91
2mpcA00 1.10.533.10.44 A.4-93
4x28A01 1.10.540.10.26 A.2-121
2jbrA01 1.10.540.10.27 A.24-142
3owaA01 1.10.540.10.28 A.11-148
3byiD00 1.10.555.10.12 D.4-212
2xs6A00 1.10.555.10.13 A.25-210
4aolD01 1.10.560.10.7 D.8-142,409-528
4oztE00 1.10.565.10.25 E.1-238
5a86A00 1.10.565.10.26 A.25-314
5a86B00 1.10.565.10.27 B.23-313
2xryA03 1.10.579.10.4 A.340-480
3ipiA00 1.10.600.10.37 A.4-285
3nf2A00 1.10.600.10.38 A.4-341
3aqbB00 1.10.600.10.39 B.5-325
1yyqB00 1.10.600.10.40 B.4-354
2q58B00 1.10.600.10.41 B.23-361
2rccA01 1.10.620.20.15 A.39-297
1mtyD00 1.10.620.20.16 D.1-512
5ex8A00 1.10.630.10.45 A.11-424
3v8dB00 1.10.630.10.46 B.7-485
2z3tA00 1.10.630.10.47 A.5-414
2xbkA00 1.10.630.10.48 A.14-404
4rm4A00 1.10.630.10.49 A.22-396
3tktA00 1.10.630.10.50 A.24-450
3tbgB00 1.10.630.10.51 B.10-475
4omfA00 1.10.645.10.3 A.2-386
1khcA02 1.10.720.50.1 A.70-138
1zs9A02 1.10.720.60.1 A.24-126
2g80A02 1.10.720.60.2 A.45-122
1f7uA02 1.10.730.10.14 A.483-607
1rqgA04 1.10.730.10.15 A.397-547
3vrdA01 1.10.760.10.44 A.1-78
3a9fA01 1.10.760.10.45 A.25-92
3oa8B00 1.10.760.10.46 B.29-208
5b6qA00 1.10.760.10.47 A.1-76
3sjlA02 1.10.760.10.48 A.171-359
1wveC00 1.10.760.10.49 C.2-76
2lsbA00 1.10.790.10.5 A.1-142
6eieA02 1.10.840.10.6 A.200-371,415-483
2r6aC01 1.10.860.10.7 C.6-101
4dooA02 1.10.890.20.4 A.53-82,182-205
3r2cA00 1.10.940.10.5 A.1-138
4im7A02 1.10.1040.10.44 A.299-506
3ctvA00 1.10.1040.10.45 A.17-108
4gwgA02 1.10.1040.10.46 A.183-437
3fr7B02 1.10.1040.10.47 B.231-504
1pgjA02 1.10.1040.10.48 A.187-444
3ulkA02 1.10.1040.10.49 A.209-489
2bs2B02 1.10.1060.10.3 B.107-125,137-240
1y0pA01 1.10.1130.10.6 A.1-99
3m1dA00 1.10.1170.10.8 A.7-84
1gpjA03 1.10.1200.70.1 A.315-404
1vhnA02 1.10.1200.80.1 A.239-309
1z6mA02 1.10.1200.90.1 A.72-132
3b4qA00 1.10.1200.100.1 A.4-93
2oarC01 1.10.1200.120.1 C.24-119
3hzqA00 1.10.1200.120.2 A.21-114
2oarB00 1.10.1200.120.3 B.24-148
3e2dA03 1.10.1200.140.1 A.365-410,443-457
1mntA00 1.10.1220.10.29 A.1-66
1p94A00 1.10.1220.10.30 A.1-76
3hq1B03 1.10.1220.20.1 B.434-490
2kkeA00 1.10.1220.60.1 A.1-53
2wyhB02 1.10.1240.90.1 B.36-141
4na1B02 1.10.1240.100.1 B.514-612
4mccA02 1.10.1270.20.6 A.161-219
3gwjA02 1.10.1280.10.8 A.190-422
3ecmA00 1.10.1300.10.8 A.1-338
2y3nB00 1.10.1330.10.6 B.1-66
1ka2A00 1.10.1370.30.4 A.3-499
2o2cA03 1.10.1390.10.3 A.559-606
4yfbC03 1.10.1400.10.4 C.304-497
4at7A01 1.10.1410.40.2 A.2-39,192-335
1ewrB02 1.10.1420.10.10 B.133-425
1vw4900 1.10.1520.10.10 9.29-241
3uoeA01 1.10.1530.10.8 A.18-87,340-356
5c8eG01 1.10.1660.10.14 G.20-97
1rh6A00 1.10.1660.20.1 A.1-55
5kn8A01 1.10.1670.10.14 A.11-29,142-232
4unfA01 1.10.1670.10.15 A.18-49,167-253
2jv7A00 1.10.1740.120.1 A.1-78
3jszA01 1.10.1740.130.1 A.6-112
3rc3A01 1.10.1740.140.1 A.13-129
4rfsS00 1.10.1760.20.9 S.3-200
4y0cB00 1.10.1780.10.7 B.20-168
3sqnA03 1.10.1790.30.1 A.273-398
2ghjB02 1.10.1900.20.1 B.53-118
1ijxD00 1.10.2000.10.3 D.4-125
3iacA02 1.10.2020.10.3 A.49-141
3f1xA01 1.10.3130.10.4 A.34-191
4alyB00 1.10.3160.10.3 B.79-274
2parB00 1.10.3210.10.27 B.4-189
1vj7B01 1.10.3210.10.28 B.5-196
2dqbB00 1.10.3210.10.29 B.2-376
1u6zA03 1.10.3210.10.30 A.311-456
4htpA00 1.10.3260.10.3 A.7-237
3letA00 1.10.3290.10.9 A.13-314
2va8A03 1.10.3380.30.2 A.432-653
2gnxA01 1.10.3450.30.1 A.1-194,330-339
2o01200 1.10.3460.10.3 2.1-186
4nt1D00 1.10.3520.10.3 D.7-201
2pv7A02 1.10.3660.10.3 A.172-292
3tuiA00 1.10.3720.10.5 A.1-216
2ahrA02 1.10.3730.10.3 A.154-259
5ovoA00 1.10.4080.10.3 A.3-297
1wa9B03 1.20.5.770.1 B.311-344
1y9bA00 1.20.5.780.1 A.3-83
2jo1A00 1.20.5.780.2 A.1-72
2mkvA00 1.20.5.780.3 A.1-64
2bezF00 1.20.5.790.1 F.1-42
2beqD00 1.20.5.790.2 D.2-47
4h63H04 1.20.5.790.3 H.171-200
2ga1A01 1.20.5.800.1 A.1-32
2oyoA01 1.20.5.810.1 A.20-71
2pfxA01 1.20.5.810.2 A.16-66
2prrA01 1.20.5.810.3 A.16-68
3mp7B00 1.20.5.820.1 B.8-61
3jc2200 1.20.5.820.2 2.1-62
3b4sA02 1.20.5.830.1 A.52-94
2r3sA02 1.20.5.840.1 A.85-121
1t6aA01 1.20.5.850.1 A.1-46
5b5ee00 1.20.5.860.1 e.5-83
4l74A02 1.20.5.870.1 A.125-154
5b66H01 1.20.5.880.1 H.1-51
5xnlH01 1.20.5.880.2 H.13-64
1s5lH00 1.20.5.880.3 H.14-66
2kluA00 1.20.5.900.1 A.1-70
2itaA01 1.20.5.920.1 A.1-56
2m3eA00 1.20.5.930.1 A.1-50
2k1aA00 1.20.5.930.2 A.1-42
2k37A00 1.20.5.950.1 A.1-59
1qexA01 1.20.5.960.1 A.17-51
1lj2A00 1.20.5.970.1 A.2-107
4owfA00 1.20.5.990.1 A.3-85
4bwnA00 1.20.5.990.2 A.25-110
2v4hB00 1.20.5.990.3 B.20-110
2w83C00 1.20.5.1000.1 C.1-67
3e7kA00 1.20.5.1010.1 A.2-55
2zjsE00 1.20.5.1030.1 E.12-57
2kseA00 1.20.5.1040.1 A.1-186
1ybkA00 1.20.5.1060.1 A.1-52
2b9bA04 1.20.5.1070.1 A.422-483
1r5sA01 1.20.5.1130.1 A.65-100
1pzqA01 1.20.5.1140.1 A.10-50
1vs5U01 1.20.5.1150.1 U.16-54
5khtA00 1.20.5.1160.1 A.1-47
1useA00 1.20.5.1160.2 A.3-42
4ypcA00 1.20.5.1160.3 A.1-83
3ssuA00 1.20.5.1160.4 A.48-93
3ol1A00 1.20.5.1160.5 A.13-117
3imiB02 1.20.5.1170.1 B.121-147
1uiiA00 1.20.5.1180.1 A.23-83
2q6qA00 1.20.5.1180.2 A.3-64
3wutG00 1.20.5.1180.3 G.2-56
2zxxD00 1.20.5.1180.4 D.15-79
4bryA00 1.20.5.1180.5 A.10-78
1ofcX03 1.20.5.1190.1 X.164-196
4dckA02 1.20.5.1190.2 A.124-156
4ovnF02 1.20.5.1190.3 F.123-155
1r5lA02 1.20.5.1200.1 A.65-79,226-259
3if4A02 1.20.5.1210.1 A.73-119
4f4sB00 1.20.20.10.3 B.2-75
3kxrA01 1.20.50.50.1 A.7-51
2b1eA01 1.20.58.1150.1 A.8-97
4ohfA03 1.20.58.1160.1 A.326-402
1vw4101 1.20.58.1180.1 1.20-149
4dmvA01 1.20.58.1190.1 A.20-104
4errB00 1.20.58.1190.2 B.2-84
2cwoA01 1.20.58.1200.1 A.29-114
2d2sA01 1.20.58.1210.1 A.7-129
2d2sA02 1.20.58.1220.1 A.132-235
2h7oA02 1.20.58.1230.1 A.156-302
2jqqA00 1.20.58.1240.1 A.51-204
2l3lA01 1.20.58.1250.1 A.6-111
2lhrA00 1.20.58.1270.1 A.1-78
4extA00 1.20.58.1280.1 A.1-96
4ba9A00 1.20.58.1280.2 A.1-114
4kbmB02 1.20.58.1290.1 B.61-160
4xaxB02 1.20.58.1290.2 B.60-158
4kmcA00 1.20.58.1290.3 A.1-79
2lt3A01 1.20.58.1290.4 A.12-111
2np9A01 1.20.58.1300.1 A.13-146
2ntxA02 1.20.58.1310.1 A.205-321
2v7kA01 1.20.58.1320.1 A.4-118
2vwaA00 1.20.58.1330.1 A.2-101
2xqyA02 1.20.58.1340.1 A.228-387
3kv5D03 1.20.58.1360.1 D.249-264,398-479
3puaA02 1.20.58.1360.2 A.307-385
3purA03 1.20.58.1360.3 A.264-294,432-523
2yu1A02 1.20.58.1360.4 A.327-451
3zliA02 1.20.58.1370.1 A.317-383,451-469
6fulA01 1.20.58.1370.2 A.16-31,376-442,510-525
3cqcB01 1.20.58.1380.1 B.3-92
3dp7A02 1.20.58.1390.1 A.99-165,290-315
3e0zB00 1.20.58.1400.1 B.3-109
3fhnA02 1.20.58.1420.1 A.194-328
2gtvX00 1.20.59.10.11 X.1-104
2copA00 1.20.80.10.12 A.1-109
1kblA05 1.20.80.30.1 A.109-197
4k12B00 1.20.81.20.1 B.3-84
1rzhL01 1.20.85.10.3 L.1-163
5owcA00 1.20.90.10.4 A.1-122
4hw5A00 1.20.91.20.2 A.7-83
2kjgA00 1.20.120.970.1 A.1-99
4ebbA02 1.20.120.980.1 A.171-305,333-346
3n2zB02 1.20.120.980.2 B.169-303,326-339
3jszA03 1.20.120.990.1 A.322-445
3htkC01 1.20.120.1010.1 C.5-183,238-258
2wvqA00 1.20.120.1020.1 A.15-225
3fdqA01 1.20.120.1030.1 A.4-125
3i5qA01 1.20.120.1050.1 A.5-171
3jrtA00 1.20.120.1060.1 A.21-190
3ecsE01 1.20.120.1070.1 E.2-104
3i4uA01 1.20.120.1080.1 A.14-81,135-163
3hlzA02 1.20.120.1090.1 A.141-269
2w9yA00 1.20.120.1100.1 A.1-140
2p6vA00 1.20.120.1110.1 A.9-105
2h7bA01 1.20.120.1110.2 A.1-96
2j9wB00 1.20.120.1130.1 B.3-101
2g3vA00 1.20.120.1140.1 A.22-182
2ixmA02 1.20.120.1150.1 A.193-303
6e5xA00 1.20.120.1160.1 A.1-127
5dvwA00 1.20.120.1160.2 A.2-133
5t3wA00 1.20.120.1160.3 A.19-171
3vywA01 1.20.120.1180.1 A.2-43,282-307
2e87A01 1.20.120.1190.1 A.2-161
3rkoF01 1.20.120.1200.1 F.1-160
4he8D00 1.20.120.1200.2 D.1-160
3seoA01 1.20.120.1210.1 A.2-40,142-240
3s0xA01 1.20.120.1220.1 A.5-131,212-235
3s28A02 1.20.120.1230.1 A.148-277
3ljbA00 1.20.120.1240.1 A.1-268
3zvrA02 1.20.120.1240.2 A.338-515,677-736
3td7A02 1.20.120.1250.1 A.160-295
3ungC04 1.20.120.1260.1 C.587-693
4dvzA02 1.20.120.1270.1 A.422-569
4dvyP03 1.20.120.1270.2 P.646-824
5ok4A02 1.20.120.1300.1 A.255-344
4yt2A02 1.20.120.1300.2 A.208-313
1k90C03 1.20.140.60.1 C.356-508
