2z4sA02 1.10.8.60.51 A.264-335
2kobA01 1.10.150.130.16 A.1-93
2kiwA01 1.10.150.130.17 A.1-86
2khvA01 1.10.150.130.18 A.1-85
2kkvA01 1.10.150.130.19 A.8-90
1iipA02 1.10.150.160.1 A.214-298
1m6yA02 1.10.150.170.1 A.116-220
1mn8D00 1.10.150.180.1 D.3-99
1kl9A02 1.10.150.190.1 A.90-181
1yz7A01 1.10.150.190.2 A.4-85
2a19A02 1.10.150.190.3 A.90-174
3cw2C02 1.10.150.190.4 C.83-175
1iv8A03 1.10.150.200.1 A.305-389
1l7mA02 1.10.150.210.1 A.17-77
3kd3A02 1.10.150.210.2 A.20-79
4ap9A02 1.10.150.210.3 A.21-80
4gouA01 1.10.167.10.6 A.3-152
1fqjB02 1.10.167.10.7 B.46-124
1a0rP02 1.10.168.10.1 P.14-96
2odeD01 1.10.196.10.6 D.17-38,119-132
3ltlA01 1.10.220.20.4 A.15-92
4c0aA01 1.10.220.20.5 A.16-96
4fhrB02 1.10.220.30.1 B.125-216
3hjlA01 1.10.220.30.2 A.6-90
3ajcA01 1.10.220.30.3 A.2-63,80-129
2js9A00 1.10.225.10.9 A.19-99
1iomA02 1.10.230.10.2 A.221-322
1np8A00 1.10.238.10.105 A.7-155
1sraA00 1.10.238.10.106 A.1-151
1djxB01 1.10.238.10.107 B.26-77
2i7aA00 1.10.238.10.108 A.12-174
3akbA00 1.10.238.10.109 A.1-166
4wriA00 1.10.238.10.110 A.3-192
1k94A00 1.10.238.10.111 A.1-165
1y1uA03 1.10.238.10.112 A.345-466
2zndA00 1.10.238.10.113 A.6-172
1qv0A00 1.10.238.10.114 A.7-195
4i5jA02 1.10.238.10.115 A.117-279
2zfdA00 1.10.238.10.116 A.32-214
1ij5A03 1.10.238.10.117 A.191-321
4phjA00 1.10.238.10.118 A.1-173
2aucB01 1.10.238.10.119 B.11-59
2bkiD01 1.10.238.10.120 D.71-126
1s6cA00 1.10.238.10.121 A.6-183
1xo5B00 1.10.238.10.122 B.4-183
2hpsA00 1.10.238.10.123 A.3-186
3mseB00 1.10.238.10.124 B.2-180
4d1eA04 1.10.238.10.125 A.808-874
3a04A02 1.10.240.10.11 A.257-372
2yxnA02 1.10.240.10.12 A.228-322
4hg7A00 1.10.245.10.4 A.7-97
2ozbE02 1.10.246.90.2 E.144-259
1vfiA00 1.10.246.100.1 A.1-95
1vzsA01 1.10.246.110.1 A.7-69
2efeA01 1.10.246.120.1 A.19-99
2o38A01 1.10.260.40.43 A.30-94
4jcyA00 1.10.260.40.44 A.1-92
4gqmA00 1.10.260.40.45 A.1-105
3trbA00 1.10.260.40.46 A.10-100
3qwgB00 1.10.260.40.47 B.4-93
3d1nP00 1.10.260.40.48 P.2-82
3f51C00 1.10.260.40.49 C.23-112
1r69A00 1.10.260.40.50 A.1-63
2ppxA00 1.10.260.40.51 A.33-93
3u3wA01 1.10.260.40.52 A.3-71
3l4jA05 1.10.268.10.6 A.569-757
2mqaA00 1.10.274.60.3 A.17-141
3lr2A01 1.10.274.70.1 A.13-130
5xnyA01 1.10.275.10.13 A.28-134
1y2mD01 1.10.275.10.14 D.26-271
2o01G01 1.10.286.40.3 G.1-75
5omvA04 1.10.287.690.3 A.447-499
1s5jA04 1.10.287.690.4 A.525-585
3k59A06 1.10.287.690.5 A.468-514
4i9qA04 1.10.287.690.6 A.469-572
2py5A04 1.10.287.690.7 A.360-395
2gv9A05 1.10.287.690.8 A.725-783
2p5oC04 1.10.287.690.9 C.469-572
1xq8A00 1.10.287.700.1 A.1-140
2kkwA01 1.10.287.700.2 A.1-105
4phzA02 1.10.287.710.1 A.164-260
6cxhA02 1.10.287.710.2 A.168-264
1ss3A00 1.10.287.720.1 A.1-50
1sqgA02 1.10.287.730.1 A.146-172
2yxlA02 1.10.287.730.2 A.158-185
5b66Z00 1.10.287.740.1 Z.1-62
2nr5E00 1.10.287.750.1 E.1-67
2odmA00 1.10.287.750.2 A.5-87
2gboA00 1.10.287.750.3 A.5-85
2nn4A00 1.10.287.760.1 A.2-63
2qtsD01 1.10.287.770.1 D.17-48,399-431
3n27C00 1.10.287.770.2 C.1-80
4ntwA01 1.10.287.770.3 A.32-60,411-443
2fb5A01 1.10.287.770.4 A.2-73
1ztmB04 1.10.287.770.5 B.411-467
3s3xB01 1.10.287.770.6 B.45-69,420-438
2l35A00 1.10.287.770.7 A.1-63
2js3A01 1.10.287.780.1 A.15-90
3b4sB01 1.10.287.790.1 B.4-51
2rdcA00 1.10.287.800.1 A.21-153
3cjhB00 1.10.287.810.1 B.5-63
3dxrA00 1.10.287.810.2 A.14-82
3dxrB00 1.10.287.810.3 B.17-85
3cjhI00 1.10.287.810.4 I.5-58
2bskB00 1.10.287.810.5 B.13-77
2qtsA04 1.10.287.820.1 A.258-341
2qr4A02 1.10.287.830.1 A.161-207
3ce2A02 1.10.287.830.2 A.193-239
2o57A01 1.10.287.840.1 A.17-57,196-206,234-286
4j42B00 1.10.287.850.1 B.8-92
3fx7A00 1.10.287.850.2 A.5-88
4w4kA00 1.10.287.850.3 A.16-97
4w4lA00 1.10.287.850.4 A.7-90
5decA02 1.10.287.860.1 A.155-204
5dedF02 1.10.287.860.2 F.155-202
2arhA02 1.10.287.870.1 A.159-198
1sf9A01 1.10.287.880.1 A.11-74
2yxyA01 1.10.287.880.2 A.7-56
3crmA02 1.10.287.890.1 A.213-296
2ze7A02 1.10.287.890.2 A.125-226
1xg7A02 1.10.340.30.13 A.32-174
2yg9A02 1.10.340.30.14 A.58-169
3kkcA01 1.10.357.10.83 A.6-175
3htaD00 1.10.357.10.84 D.27-204
3qkxB00 1.10.357.10.85 B.8-188
3lwjA00 1.10.357.10.86 A.9-201
4cgrB00 1.10.357.10.87 B.6-209
2g7gA00 1.10.357.10.88 A.11-207
4yzeB00 1.10.357.10.89 B.10-201
2d6yA00 1.10.357.10.90 A.7-192
3f1bA00 1.10.357.10.91 A.9-197
3kkdA00 1.10.357.10.92 A.35-237
3gziA00 1.10.357.10.93 A.9-210
3qqaA02 1.10.357.10.94 A.71-211
3eupB00 1.10.357.10.95 B.4-203
2dg7A00 1.10.357.10.96 A.2-187
3himA00 1.10.357.10.97 A.14-203
3kz9D00 1.10.357.10.98 D.6-204
2v4xA00 1.10.375.10.4 A.1-131
2vqxA02 1.10.390.10.6 A.175-341
6q4rA02 1.10.390.10.7 A.255-504
1zcbA02 1.10.400.10.3 A.62-187
2e1mA05 1.10.405.10.6 A.215-305
1p2xA00 1.10.418.10.18 A.1-159
3ky9A01 1.10.418.10.19 A.5-167
1wyrA00 1.10.418.10.20 A.1-121
2ee7A01 1.10.418.10.21 A.13-127
5jhxA04 1.10.420.10.6 A.613-736
4mi8B00 1.10.437.10.12 B.3-138
4uf1A00 1.10.437.10.13 A.16-150
2jbyA00 1.10.437.10.14 A.15-141
4wksA00 1.10.439.10.3 A.3-165
1floC02 1.10.443.10.7 C.151-418
1mw9X02 1.10.460.10.1 X.164-212,474-587
4krdB00 1.10.472.10.34 B.17-206
1kxuA01 1.10.472.10.35 A.21-170,272-296
3k7aM01 1.10.472.10.36 M.102-217
2pmiB00 1.10.472.10.37 B.17-247
4ob0B01 1.10.472.20.1 B.1-126
3a8gB01 1.10.472.20.2 B.1-110
1pjrA04 1.10.486.10.4 A.387-538
4maxA00 1.10.490.10.33 A.1-123
4nk2A01 1.10.490.10.34 A.48-193
4zvaA00 1.10.490.10.35 A.1-149
2xkiA00 1.10.490.10.36 A.1-110
2gkmA00 1.10.490.10.37 A.2-128
6ciiA00 1.10.490.10.38 A.5-128
1urvA00 1.10.490.10.39 A.18-171
1werA02 1.10.506.10.4 A.5-92,269-328
3hkoA02 1.10.510.10.75 A.110-345
5vamA02 1.10.510.10.76 A.92-279
6hx1A02 1.10.510.10.77 A.83-273
3kn6A02 1.10.510.10.78 A.49-69,88-316
3gniB02 1.10.510.10.79 B.111-249,306-389
2eu9A02 1.10.510.10.80 A.81-84,104-346
5cemA02 1.10.510.10.81 A.83-284
5ap1A02 1.10.510.10.82 A.112-300
4im0A02 1.10.510.10.83 A.95-312
4pteB02 1.10.510.10.84 B.158-376
6e2nA02 1.10.510.10.85 A.102-283
3m2wA02 1.10.510.10.86 A.97-299
3n9xA02 1.10.510.10.87 A.114-374
3fmeA02 1.10.510.10.88 A.89-289
4o38B02 1.10.510.10.89 B.119-328
2wssW01 1.10.520.20.1 W.13-107
1abvA00 1.10.520.20.2 A.1-105
3cqlA01 1.10.530.10.18 A.1-87,146-243
4fdyA01 1.10.530.10.19 A.19-179
3zvqA00 1.10.530.10.20 A.1-70
2g7rA00 1.10.533.10.27 A.20-115
3t6pA03 1.10.533.10.28 A.179-306
2a5yB01 1.10.533.10.29 B.1-109
2of5H00 1.10.533.10.30 H.1-100
3cl3A02 1.10.533.10.31 A.91-178
3ezqA00 1.10.533.10.32 A.1-115
6cxtB01 1.10.540.10.20 B.1-120
2ddhA01 1.10.540.10.21 A.15-133
2or0B01 1.10.540.10.22 B.4-127
5jcpB01 1.10.555.10.8 B.10-204
3kuqA00 1.10.555.10.9 A.14-224
3aq1B01 1.10.560.10.5 B.43-95,358-469
1pzlA00 1.10.565.10.19 A.5-237
4n73A00 1.10.565.10.20 A.2-199
4x1fA00 1.10.565.10.21 A.24-316
1owlA03 1.10.579.10.2 A.298-473
5dz2A00 1.10.600.10.27 A.4-329
5jo7A02 1.10.600.10.28 A.226-538
4jzxA00 1.10.600.10.29 A.2-362
5ermB00 1.10.600.10.30 B.21-363
4wk5A00 1.10.600.10.31 A.22-290
5hyhA00 1.10.620.20.11 A.13-308
3ge3A00 1.10.620.20.12 A.2-492
6hqdC00 1.10.630.10.31 C.6-420
1po5A00 1.10.630.10.32 A.9-473
5vccA00 1.10.630.10.33 A.9-476
3b6hA00 1.10.630.10.34 A.13-491
1io7A00 1.10.630.10.35 A.1-366
4l0fA00 1.10.630.10.36 A.9-446
4g3jA00 1.10.630.10.37 A.1-448
4u9hL00 1.10.645.10.1 L.1-533
2kvuA00 1.10.720.30.9 A.1-75
2rqyA02 1.10.720.30.10 A.125-161
6ghdG00 1.10.720.40.1 G.1-45
2csxA03 1.10.730.10.10 A.335-497
1ileA03 1.10.730.10.11 A.631-821
3o5cC01 1.10.760.10.32 C.11-24,173-310
4xxlA00 1.10.760.10.33 A.28-119
5aurA00 1.10.760.10.34 A.1-83
1c75A00 1.10.760.10.35 A.1-71
3oa8A02 1.10.760.10.36 A.50-149
1h32A01 1.10.760.10.37 A.1-54,146-260
1i17A00 1.10.790.10.3 A.1-107
2ijeS00 1.10.840.10.4 S.1-237
1b79B00 1.10.860.10.5 B.17-119
4dokA02 1.10.890.20.2 A.52-80,185-208
1sqgA01 1.10.940.10.3 A.5-145
3hwrA02 1.10.1040.10.32 A.190-318
3qsgA02 1.10.1040.10.33 A.195-309
3pidA02 1.10.1040.10.34 A.234-323
1zcjA04 1.10.1040.10.35 A.354-460
4ezbA02 1.10.1040.10.36 A.197-313
4j0eA02 1.10.1040.10.37 A.209-299
2h88B02 1.10.1060.10.1 B.115-246
1oahA01 1.10.1130.10.4 A.46-338,481-519
5c3kA00 1.10.1170.10.6 A.5-110
2roqA01 1.10.1200.10.39 A.1-97
2l9fA00 1.10.1200.10.40 A.1-102
2lteA00 1.10.1200.10.41 A.1-103
1vw4801 1.10.1200.10.42 8.125-197
1klpA00 1.10.1200.10.43 A.1-115
6er6A00 1.10.1200.20.1 A.1-88
3g21A00 1.10.1200.30.1 A.1-77
3ds4B00 1.10.1200.30.2 B.4-78
2kelA00 1.10.1220.10.21 A.11-56
2k29A00 1.10.1220.10.22 A.4-53
2k6lA00 1.10.1220.10.23 A.1-51
2k1oA00 1.10.1220.10.24 A.13-66
3h20A04 1.10.1240.50.2 A.217-307
2pbiA02 1.10.1240.60.1 A.113-213
3ky7A02 1.10.1270.20.4 A.194-267
1js8A01 1.10.1280.10.6 A.1-284
1tazA00 1.10.1300.10.6 A.5-361
4uypB00 1.10.1330.10.4 B.1-73
3hoaA00 1.10.1370.30.2 A.1-509
2cxnA03 1.10.1390.10.1 A.516-556
4wksC03 1.10.1400.10.2 C.293-474
1r89A01 1.10.1410.30.1 A.1-15,144-259
2o8bB03 1.10.1420.10.8 B.395-552,705-734
2qvwC06 1.10.1520.10.8 C.601-756
1nxuA01 1.10.1530.10.6 A.2-64,317-332
5d90B00 1.10.1660.10.10 B.1-125
3qaoA00 1.10.1660.10.11 A.1-140
3i0wA03 1.10.1670.10.10 A.235-290
4uobA01 1.10.1670.10.11 A.27-57,184-268
1sg7A00 1.10.1740.70.1 A.22-96
2pusA05 1.10.1740.80.1 A.715-798
1x3zA03 1.10.1740.90.1 A.59-117,172-200
4huqS00 1.10.1760.20.7 S.10-173
3zriA01 1.10.1780.10.5 A.17-170
1h99A02 1.10.1790.10.3 A.115-222
2o4tA00 1.10.1900.10.4 A.3-92
1ijyA00 1.10.2000.10.1 A.7-128
2qeeA02 1.10.2020.10.1 A.41-122
4n6aA01 1.10.3130.10.2 A.14-153
4b2fA00 1.10.3160.10.1 A.2-205
4mlmA00 1.10.3210.10.19 A.2-189
2ogiB00 1.10.3210.10.20 B.3-196
4r8zA00 1.10.3210.10.21 A.1-218
4l1jB00 1.10.3210.10.22 B.6-200
2cfmA01 1.10.3260.10.1 A.2-220
4u04A02 1.10.3290.10.7 A.92-332
2zj2A04 1.10.3380.20.1 A.491-664
2ijqA00 1.10.3450.10.3 A.16-160
2bhwA01 1.10.3460.10.1 A.23-225
3rznA01 1.10.3520.10.1 A.17-201
2f1kC02 1.10.3660.10.1 C.166-278
4ymuD00 1.10.3720.10.3 D.1-215
5bseA02 1.10.3730.10.1 A.179-277
6g1pB00 1.10.4080.10.1 B.3-347
4hb1A00 1.20.5.420.19 A.3-50
2r44A01 1.20.5.420.20 A.1-28
1s3jB01 1.20.5.420.21 B.2-34
3mhvA00 1.20.5.420.22 A.1-42
2hr3A01 1.20.5.420.23 A.2-31
4jbzA03 1.20.5.420.24 A.372-401
3rguC00 1.20.5.420.25 C.26-110
4cpgA00 1.20.5.420.26 A.15-83
2lr2A00 1.20.5.420.27 A.13-88
2ks1B01 1.20.5.420.28 B.14-36
2o1kA00 1.20.5.430.1 A.1-43
3ci9A00 1.20.5.430.2 A.1-44
4c7rA02 1.20.5.430.3 A.519-557
4hh2A02 1.20.5.430.4 A.126-164
2l5gB00 1.20.5.430.5 B.1-42
1jekA00 1.20.5.440.1 A.2-41
4qmaA01 1.20.5.440.2 A.12-51
2jdiH02 1.20.5.440.3 H.104-145
2e5yA02 1.20.5.440.4 A.89-133
4djgB00 1.20.5.440.5 B.1-47
1fs0E02 1.20.5.440.6 E.90-133
1ifpA00 1.20.5.440.7 A.1-44
3effK02 1.20.5.440.8 K.95-139
1e5wA04 1.20.5.450.1 A.292-346
1tiwA02 1.20.5.460.1 A.77-102
2p10B02 1.20.5.460.2 B.260-286
3in6A01 1.20.5.460.3 A.1-30
2g8yA03 1.20.5.460.4 A.304-331
1zkcB02 1.20.5.460.5 B.179-197
3i38I02 1.20.5.460.6 I.79-106
3o6qC01 1.20.5.460.7 C.7-36
1fdoA05 1.20.5.460.8 A.689-715
1omiA02 1.20.5.460.9 A.121-147
1zmeC02 1.20.5.460.10 C.41-70
3h25A02 1.20.5.460.11 A.193-212
1wmkA03 1.20.5.460.12 A.278-305
1vl2A03 1.20.5.470.1 A.382-421
1vl2B03 1.20.5.470.2 B.392-421
4xfjA03 1.20.5.470.3 A.370-406
1kqfB03 1.20.5.480.1 B.247-290
4r4mA00 1.20.5.490.1 A.3-49
2oqqA00 1.20.5.490.2 A.1-42
3g9rA00 1.20.5.490.3 A.1-42
2j5uB01 1.20.5.490.4 B.29-68
3t97B00 1.20.5.490.5 B.3-60
1dipA01 1.20.5.490.6 A.2-46
1gmjD00 1.20.5.500.1 D.23-78
2v7qJ00 1.20.5.500.2 J.8-50
4tsfI00 1.20.5.500.3 I.11-51
3kltB00 1.20.5.500.4 B.2-72
1hf9A00 1.20.5.500.5 A.1-41
4il6X00 1.20.5.510.1 X.1-40
2qsiA02 1.20.5.510.2 A.100-128
2qjyC01 1.20.5.510.3 C.9-41
5oy0700 1.20.5.510.4 7.1-40
2yiuC01 1.20.5.510.5 C.17-45
2xquA01 1.20.20.10.1 A.2-79
2kc6A01 1.20.50.40.2 A.15-52
3euhA02 1.20.58.590.1 A.119-311
1zeeA01 1.20.58.600.1 A.6-123
2w0gA00 1.20.58.610.1 A.1-129
3gmiA01 1.20.58.620.1 A.1-48,268-356
1v9dA01 1.20.58.630.1 A.6-91
3o4xE02 1.20.58.630.2 E.74-181
2a2fX02 1.20.58.670.1 X.181-319
3fhnA04 1.20.58.670.2 A.503-639
3ha4B00 1.20.58.690.1 B.24-143
3hl6A02 1.20.58.700.1 A.76-214
3vwnX02 1.20.58.710.1 X.133-232
3if8B02 1.20.58.730.1 B.76-175
3vhlA02 1.20.58.740.1 A.166-285
2yinA03 1.20.58.740.2 A.307-434
2ce7C03 1.20.58.760.1 C.266-461
2ra1A03 1.20.58.770.1 A.167-229
2ra1A02 1.20.58.780.1 A.99-166
2ra1A01 1.20.58.790.1 A.1-98
3f2eA00 1.20.58.800.1 A.8-90
3fblA00 1.20.58.800.2 A.1-82
3fbzA01 1.20.58.800.3 A.36-136
2y6xA00 1.20.58.810.1 A.5-113
5x56B00 1.20.58.810.2 B.2-106
3ieeA02 1.20.58.820.1 A.167-269
4nuuA02 1.20.58.830.1 A.177-300
2y8dA02 1.20.58.830.2 A.176-303
3c64A00 1.20.58.830.3 A.2-167
3i1aA03 1.20.58.840.1 A.144-201,273-330
3ibpA01 1.20.58.850.1 A.11-58,270-293
4uelA02 1.20.58.860.1 A.229-307
2klqA00 1.20.58.870.1 A.1-114
3cqxC00 1.20.58.890.1 C.7-87
2dwkA00 1.20.58.900.1 A.9-176
2gbbB00 1.20.59.10.9 B.2-156
6cb0B02 1.20.80.10.8 B.101-225
1hbkA00 1.20.80.10.9 A.1-89
1op1A00 1.20.81.10.2 A.1-82
1rzhM01 1.20.85.10.1 M.1-143
1g4iA00 1.20.90.10.2 A.1-123
5cqeB01 1.20.91.10.1 B.23-103
2xs1A02 1.20.120.560.1 A.365-411,548-646
4jioB01 1.20.120.560.2 B.4-62,166-283
2ap3A00 1.20.120.570.1 A.1-196
1ylmA00 1.20.120.580.1 A.2-143
2au5A00 1.20.120.590.1 A.3-135
3fxhA00 1.20.120.600.1 A.20-132
2bl2A00 1.20.120.610.1 A.1-156
4bemJ00 1.20.120.610.2 J.2-182
5tj5E00 1.20.120.610.3 E.1-150
2ksfA00 1.20.120.620.1 A.1-107
1gm5A01 1.20.120.630.1 A.7-101
3c8zA02 1.20.120.640.1 A.332-414
1li5A02 1.20.120.640.2 A.306-392
1v74B00 1.20.120.650.1 B.1-87
1y4cA03 1.20.120.660.1 A.381-493
3u8vA00 1.20.120.660.2 A.1-88
2hz8A00 1.20.120.660.3 A.1-115
2eplX03 1.20.120.670.1 X.403-627
4a4aA04 1.20.120.670.2 A.620-909
1o5hA00 1.20.120.680.1 A.14-213
2pfdA03 1.20.120.680.2 A.339-541
1vk5A00 1.20.120.690.1 A.36-156
2o9xA01 1.20.120.700.1 A.14-80,159-175
2gfhA02 1.20.120.710.1 A.31-120
2v26A04 1.20.120.720.1 A.324-438,598-617
1lvkA04 1.20.120.720.2 A.337-443,591-620
1mmaA04 1.20.120.720.3 A.337-442
2mysA04 1.20.120.720.4 A.344-451,602-626
1br2A03 1.20.120.720.5 A.340-448
3eh1A01 1.20.120.730.1 A.1-23,486-601,731-751
3eh2C01 1.20.120.730.2 C.3-9,504-620,742-766
2nutA04 1.20.120.730.3 A.509-623,751-768
1pcxA01 1.20.120.730.4 A.17-41,520-637,790-810
1izmA00 1.20.120.740.1 A.4-173
4gytA00 1.20.120.740.2 A.8-184
1nu7D01 1.20.120.750.1 D.15-149
2jbrA03 1.20.140.10.34 A.238-422
4oo2A02 1.20.140.10.35 A.92-116,302-482
3hwcA03 1.20.140.10.36 A.273-482
5j71A01 1.20.140.20.1 A.5-169
4e01A01 1.20.140.20.2 A.70-223
4j1vA00 1.20.140.30.1 A.9-180
5b5vD00 1.20.140.30.2 D.24-212
