1oaiA00 1.10.8.10.1 A.1-59
4cayA00 1.10.20.10.3 A.2-91
4wnnD00 1.10.20.10.4 D.2-98
1tzyC00 1.10.20.10.5 C.42-136
5y27A00 1.10.20.10.6 A.10-107
3fghA00 1.10.30.10.1 A.1-67
4y60C00 1.10.30.10.2 C.1-76
4qr9A00 1.10.30.10.3 A.1-75
2ptrB03 1.10.40.30.1 B.382-445
1vdkB03 1.10.40.30.2 B.405-463
1on2A02 1.10.60.10.1 A.74-136
2qq9A02 1.10.60.10.2 A.74-139
4xuwA00 1.10.110.10.1 A.1-92
1k4tA04 1.10.132.10.1 A.414-592
1rr8C04 1.10.132.10.2 C.386-565
1a35A04 1.10.132.10.3 A.417-461,539-590
1m15A01 1.10.135.10.1 A.2-95
3b0xA02 1.10.150.20.1 A.88-156
3h7iA02 1.10.150.20.2 A.183-259
5tt5A05 1.10.150.20.3 A.527-603
1x2iA00 1.10.150.20.4 A.5-72
5hmlA02 1.10.150.20.5 A.162-241
5tt5A04 1.10.150.20.6 A.448-526
1z3eB00 1.10.150.20.7 B.3-69
3mfiA03 1.10.150.20.8 A.307-385
3mabA00 1.10.150.20.9 A.3-87
4tqrA03 1.10.150.20.10 A.167-233
1cukA02 1.10.150.20.11 A.67-142
3osnA03 1.10.150.20.12 A.222-298
2nrtA02 1.10.150.20.13 A.158-219
1u9lB00 1.10.150.20.14 B.1-70
3zdbA02 1.10.150.20.15 A.162-250
5kfzA03 1.10.150.20.16 A.255-312
3k4gB00 1.10.150.20.17 B.4-85
5vzaA02 1.10.150.20.18 A.104-160
6ib8C01 1.10.150.20.19 C.8-67
5v07Z02 1.10.150.20.20 Z.208-285
4kliA02 1.10.150.20.21 A.92-148
3im1A02 1.10.150.20.22 A.156-213
5k97A02 1.10.150.20.23 A.217-284
2z43B01 1.10.150.20.24 B.21-84
3ntuA01 1.10.150.20.25 A.1-63
3oryA02 1.10.150.20.26 A.235-299
4bxoA02 1.10.150.20.27 A.175-241
3ldaA01 1.10.150.20.28 A.78-151
5wm1A04 1.10.150.20.29 A.229-317
1y88A02 1.10.150.20.30 A.141-199
4bxoB02 1.10.150.20.31 B.146-217
6am3A00 1.10.167.10.1 A.3-134
1dk8A01 1.10.196.10.1 A.7-37,123-139
1utgA00 1.10.210.10.1 A.1-70
2ii2A04 1.10.220.10.1 A.231-309
2ii2A01 1.10.220.10.2 A.6-74
2zhjA02 1.10.220.10.3 A.89-162
2zhjA01 1.10.220.10.4 A.16-88
2hyvA04 1.10.220.10.5 A.235-308
1l9lA00 1.10.225.10.1 A.1-74
3bqpA00 1.10.225.10.2 A.1-80
1psrA00 1.10.238.10.1 A.1-100
2pvbA00 1.10.238.10.2 A.2-108
4pe0A00 1.10.238.10.3 A.1-92
1k8uA00 1.10.238.10.4 A.2-90
4cfrB00 1.10.238.10.5 B.4-103
4yi8A02 1.10.238.10.6 A.101-188
3fiaA00 1.10.238.10.7 A.16-112
4yi8A01 1.10.238.10.8 A.11-96
3k21A01 1.10.238.10.9 A.14-46,115-191
3kevA01 1.10.238.10.10 A.4-92
3buxB02 1.10.238.10.11 B.154-242
1exrA01 1.10.238.10.12 A.5-80
3tduA01 1.10.238.10.13 A.1-90
5g08A02 1.10.238.10.14 A.97-183
4ggfA00 1.10.238.10.15 A.1-89
2wcbA00 1.10.238.10.16 A.4-95
4ggfC00 1.10.238.10.17 C.4-111
5e37A01 1.10.238.10.18 A.18-103
5e37A02 1.10.238.10.19 A.104-189
2r2iA01 1.10.238.10.20 A.1-83,171-184
2aibA00 1.10.239.10.1 A.1-98
1n3lA02 1.10.240.10.1 A.217-342
3sz3A02 1.10.240.10.2 A.192-305
5oswA03 1.10.246.10.1 A.204-295
5oswA02 1.10.246.10.2 A.108-196
5oswA04 1.10.246.10.3 A.296-381
1n5uA01 1.10.246.10.4 A.5-107
1kxpD02 1.10.246.10.5 D.124-211
1hq1A00 1.10.260.30.1 A.1-104
2v3cC03 1.10.260.30.2 C.309-427
1qb2A00 1.10.260.30.3 A.1-107
1dulA00 1.10.260.30.4 A.1-68
3dm5B03 1.10.260.30.5 B.310-434
2ffhA03 1.10.260.30.6 A.319-418
3kl4A03 1.10.260.30.7 A.305-433
3fymA00 1.10.260.40.1 A.2-83
4i6rA00 1.10.260.40.2 A.6-82
4ckkC03 1.10.268.10.1 C.341-464
1zymA02 1.10.274.10.1 A.21-146
6n1mA01 1.10.275.10.1 A.13-147
1gkmA01 1.10.275.10.2 A.1-194
1k7wA01 1.10.275.10.3 A.29-125,197-236
5gudB01 1.10.285.10.1 B.26-78,448-471
4du6E01 1.10.286.10.1 E.5-87
1wurA01 1.10.286.10.2 A.32-85
4a5uB00 1.10.287.10.1 B.1-88
2zkoA00 1.10.287.10.2 A.4-73
1xeqB00 1.10.287.10.3 B.9-93
4xpzA02 1.10.287.10.4 A.185-228
5ujjA01 1.10.287.10.5 A.8-62
6az1T02 1.10.287.10.6 T.82-143
4iylA01 1.10.287.10.7 A.6-57
5mmjo00 1.10.287.10.8 o.16-90
3o65A02 1.10.287.10.9 A.28-73
2lw7A01 1.10.287.10.10 A.1-56
3cx5F00 1.10.287.20.1 F.73-146
1pp9H00 1.10.287.20.2 H.13-78
2nnuA01 1.10.287.30.1 A.4-105
1wleA01 1.10.287.40.1 A.41-154
3lssA01 1.10.287.40.2 A.3-142
3qneA01 1.10.287.40.3 A.1-109
6h9xA01 1.10.287.40.4 A.1-104
2dq0A01 1.10.287.40.5 A.1-107
1sesA01 1.10.287.40.6 A.1-102
1serA01 1.10.287.40.7 A.1-102
3oufB00 1.10.287.70.1 B.2-97
4j9zB00 1.10.287.70.2 B.2-98
1r3jC00 1.10.287.70.3 C.22-124
3ldcA00 1.10.287.70.4 A.1-82
2qksA01 1.10.287.70.5 A.29-134
2r9rB03 1.10.287.70.6 B.326-436
4lp8A01 1.10.287.70.7 A.35-138
3rvyA02 1.10.287.70.8 A.133-239
5b1aC01 1.10.287.70.9 C.3-70
4gx0A01 1.10.287.70.10 A.15-117
5kukA02 1.10.287.70.11 A.20-151
4x89A00 1.10.287.70.12 A.6-97
3behB02 1.10.287.70.13 B.126-230
5cbgA00 1.10.287.70.14 A.5-106
3um7A01 1.10.287.70.15 A.25-55,107-185
2yevA02 1.10.287.70.16 A.534-607
3um7A03 1.10.287.70.17 A.186-290
1m56C01 1.10.287.70.18 C.2-70
4h33A00 1.10.287.70.19 A.12-102
2h8pC00 1.10.287.70.20 C.1-57
5hk7B00 1.10.287.70.21 B.12-149
3vouB00 1.10.287.70.22 B.4-142
3kg2A05 1.10.287.70.23 A.500-621,777-808
1lnqA01 1.10.287.70.24 A.19-98
3rbzA01 1.10.287.70.25 A.24-91
1orqC01 1.10.287.70.26 C.6-223
4twkB00 1.10.287.70.27 B.18-278
4wfeA00 1.10.287.70.28 A.28-286
6bm5A02 1.10.288.10.1 A.42-101,171-198
2gaiA04 1.10.290.10.1 A.241-374
5i34A02 1.10.300.10.1 A.122-216
1u84A00 1.10.340.20.1 A.6-86
1xqoA02 1.10.340.30.1 A.27-161
4uobA02 1.10.340.30.2 A.58-183
2zcmA00 1.10.357.10.1 A.9-191
2yveB00 1.10.357.10.2 B.3-174
2guhB00 1.10.357.10.3 B.36-213
5nioA02 1.10.357.10.4 A.68-214
3g7rA00 1.10.357.10.5 A.16-217
2g7sA00 1.10.357.10.6 A.5-194
2iu5B00 1.10.357.10.7 B.11-188
4aciA00 1.10.357.10.8 A.14-189
2ibdA02 1.10.357.10.9 A.56-202
2q24A00 1.10.357.10.10 A.16-188
2xpwA02 1.10.357.10.11 A.66-206
3cwrB00 1.10.357.10.12 B.13-204
3v6gA00 1.10.357.10.13 A.14-185
5aqcB00 1.10.357.10.14 B.13-195
3vvyD00 1.10.357.10.15 D.9-191
2y2zA02 1.10.357.10.16 A.83-244
2np5D00 1.10.357.10.17 D.10-192
5jviE02 1.10.390.10.1 E.155-315
1d5tA03 1.10.405.10.1 A.121-225
2vzcB00 1.10.418.10.1 B.6-131
2qjzA00 1.10.418.10.2 A.3-123
1bkrA00 1.10.418.10.3 A.2-109
4bllA02 1.10.420.10.1 A.140-250,291-319
5uukA00 1.10.437.10.1 A.1-152
5c3fA01 1.10.437.10.2 A.1-148
2wfpA03 1.10.441.10.1 A.153-240,279-303
1xo0A02 1.10.443.10.1 A.113-312
1ae9A00 1.10.443.10.2 A.1-179
1iqvA00 1.10.455.10.1 A.18-218
2wjnC02 1.10.468.10.1 C.143-205,221-313
2vsgA02 1.10.470.10.1 A.31-83,252-358
2i53A01 1.10.472.10.1 A.5-147
4eojD01 1.10.472.10.2 D.7-20,134-257
2i53A02 1.10.472.10.3 A.148-258
4eojB02 1.10.472.10.4 B.21-133
2ivxB01 1.10.472.10.5 B.3-142
2ivxB02 1.10.472.10.6 B.143-257
5xs2B01 1.10.472.10.7 B.1-18,151-263
6ekzA00 1.10.489.10.1 A.3-327
5yceA00 1.10.490.10.1 A.2-152
3g46A00 1.10.490.10.2 A.1-146
2w72B00 1.10.490.10.3 B.1-146
2w72A00 1.10.490.10.4 A.1-141
1h97A00 1.10.490.10.5 A.1-147
3lb2A00 1.10.490.10.6 A.1-137
5nkfA02 1.10.510.10.1 A.102-302
5lvoA02 1.10.510.10.2 A.118-309
6di1A02 1.10.510.10.3 A.89-271
4wihA01 1.10.510.10.4 A.18-35,130-320
6n7aB02 1.10.510.10.5 B.109-304
6gukA02 1.10.510.10.6 A.93-303
4r1vA02 1.10.510.10.7 A.106-291
5ug9A02 1.10.510.10.8 A.100-292
4annA00 1.10.510.10.9 A.19-194
4pf4A02 1.10.510.10.10 A.100-278
2xrwA02 1.10.510.10.11 A.114-333
3a7iA02 1.10.510.10.12 A.102-299
4qtcA02 1.10.510.10.13 A.167-357
3kfaA02 1.10.510.10.14 A.91-270
4bllA01 1.10.520.10.1 A.2-139,251-290
3e2oA01 1.10.520.10.2 A.4-144,266-294
2vb1A00 1.10.530.10.1 A.1-129
3wh1A01 1.10.530.10.2 A.3-69,129-206
1b9oA00 1.10.530.10.3 A.1-123
4pj2C00 1.10.530.10.4 C.1-122
1cy5A00 1.10.533.10.1 A.1-93
2bbrA02 1.10.533.10.2 A.91-190
2bbrA01 1.10.533.10.3 A.2-90
4fh0A00 1.10.533.10.4 A.5-99
4o7qA00 1.10.533.10.5 A.1-94
2uxwA02 1.10.540.10.1 A.43-163
5jscA01 1.10.540.10.2 A.22-141
3swoB01 1.10.540.10.3 B.13-140
2d29A01 1.10.540.10.4 A.5-122
2ovjA00 1.10.555.10.1 A.1-201
1ymtA00 1.10.565.10.1 A.1-243
4pf3A00 1.10.565.10.2 A.26-274
3up3A00 1.10.565.10.3 A.2-243
1fcyA00 1.10.565.10.4 A.1-236
4z3xA03 1.10.569.10.1 A.250-435
5fbfA00 1.10.575.10.1 A.1-267
2ibpA01 1.10.580.10.1 A.32-250,357-389
1b25A03 1.10.599.10.1 A.210-238,417-608
1wmwB00 1.10.600.10.1 B.2-325
3acxA00 1.10.600.10.2 A.7-290
4llsA00 1.10.600.10.3 A.12-311
5i1uA00 1.10.600.10.4 A.20-329
4nuaA00 1.10.600.10.5 A.31-372
3vj8A00 1.10.600.10.6 A.8-342
1qi9A00 1.10.606.10.1 A.2-556
1mxrA00 1.10.620.20.1 A.1-339
1mtyB00 1.10.620.20.2 B.1-384
1jfbA00 1.10.630.10.1 A.6-404
1n40A00 1.10.630.10.2 A.2-396
2ij2B00 1.10.630.10.3 B.5-461
6fyjA00 1.10.630.10.4 A.4-421
4l4eA00 1.10.630.10.5 A.11-415
4tpoA00 1.10.630.10.6 A.1-407
5mfaA00 1.10.640.10.1 A.109-696
3wrbB02 1.10.700.10.1 B.306-412
1e7lA02 1.10.720.10.1 A.103-157
1a62A01 1.10.720.10.2 A.2-47
4qreA03 1.10.730.10.1 A.375-547
6gfxC02 1.10.750.10.1 C.100-151
3ziyA03 1.10.760.10.1 A.333-460
1gu2A00 1.10.760.10.2 A.1-124
4wqdA01 1.10.760.10.3 A.5-136
1c52A00 1.10.760.10.4 A.1-131
1e29A00 1.10.760.10.5 A.1-135
1i8oA00 1.10.760.10.6 A.2-114
2xtsB01 1.10.760.10.7 B.10-146
1j8uA00 1.10.800.10.1 A.16-322
1heiA03 1.10.820.10.1 A.253-272,305-441
1sknP00 1.10.880.10.1 P.15-88
1yu5X00 1.10.950.10.1 X.1-67
1xszA02 1.10.1000.11.1 A.85-199
2g1pA02 1.10.1020.10.1 A.57-156
1a9xA04 1.10.1030.10.1 A.404-553
1evyA02 1.10.1040.10.1 A.208-356
3ws7A02 1.10.1040.10.2 A.183-303
1bg6A02 1.10.1040.10.3 A.196-348
5a9tA02 1.10.1040.10.4 A.162-290
1txgA02 1.10.1040.10.5 A.181-335
4om8A02 1.10.1040.10.6 A.186-309
4d3dB02 1.10.1040.10.7 B.178-306
2vqeD01 1.10.1050.10.1 D.2-97,195-209
2wxfA05 1.10.1070.11.1 A.726-923
3kalA03 1.10.1080.10.1 A.96-142,333-365
2fyuF00 1.10.1090.10.1 F.5-110
2ck3D03 1.10.1140.10.1 D.362-479
2ja2A03 1.10.1160.10.1 A.252-335
4hy4B00 1.10.1170.10.1 B.21-115
4bpfA00 1.10.1200.10.1 A.2-86
1t8kA00 1.10.1200.10.2 A.1-77
4hkgA00 1.10.1200.10.3 A.4-83
5kp7B00 1.10.1200.10.4 B.25-103
2jgpA01 1.10.1200.10.5 A.9-87
3ce7A00 1.10.1200.10.6 A.12-101
1vkuA00 1.10.1200.10.7 A.7-94
1irqA00 1.10.1220.10.1 A.24-71
2cpgB00 1.10.1220.10.2 B.1-45
1bazC00 1.10.1220.10.3 C.7-52
3ft7B00 1.10.1220.10.4 B.6-51
4jgiA01 1.10.1240.10.1 A.1-80
4hh3C01 1.10.1240.10.2 C.17-101
3bulA01 1.10.1240.10.3 A.3-89
6eniA00 1.10.1270.10.1 A.2-105
5z0fA00 1.10.1280.10.1 A.1-279
1tbfA00 1.10.1300.10.1 A.22-347
6gidA02 1.10.1380.10.1 A.51-377,430-476
4ud4A01 1.10.1410.10.1 A.1-17,143-340
2b4vA01 1.10.1410.10.2 A.11-32,251-452
1wb9A03 1.10.1420.10.1 A.266-384,538-566
1e3mB04 1.10.1420.10.2 B.317-428,527-566
5m33B00 1.10.1450.10.1 B.3-92
1rykA00 1.10.1470.10.1 A.1-69
1iyrA00 1.10.1490.10.1 A.5-87
1ng6A01 1.10.1510.10.1 A.1-91
3o2rA00 1.10.1520.10.1 A.27-170
2nugA01 1.10.1520.10.2 A.3-149
1wtjB01 1.10.1530.10.1 B.7-70,311-343
3cnlA02 1.10.1580.10.1 A.159-249
1jeyA04 1.10.1600.10.1 A.440-533
4kqkB01 1.10.1610.10.1 B.4-57,330-349
1vq8200 1.10.1620.10.1 2.2-50
1zoqC00 1.10.1630.10.1 C.1-47
1vq8P01 1.10.1650.10.1 P.2-56
1q08A00 1.10.1660.10.1 A.1-94
2xhiA02 1.10.1670.10.1 A.119-139,280-338
3mw6C00 1.10.1710.10.1 C.8-119
4lupA00 1.10.1740.10.1 A.5-95
5jazA03 1.10.1740.10.2 A.330-420
1g5aA01 1.10.1740.10.3 A.1-97
2y1eA03 1.10.1740.10.4 A.312-398
3pvvA00 1.10.1750.10.1 A.5-100
1k8kE00 1.10.1760.10.1 E.2-175
3rlbA00 1.10.1760.20.1 A.17-192
5c5oA03 1.10.1840.10.1 A.198-300
1j0tA00 1.10.2010.10.1 A.1-78
1jmuB03 1.10.2050.10.1 B.236-264,472-599
5tuxA01 1.10.2090.10.1 A.18-164
3i2kA02 1.10.3020.10.1 A.146-240
2fsiB04 1.10.3060.10.1 B.640-828
4eneB00 1.10.3080.10.1 B.2-443
4wbyA02 1.10.3090.10.1 A.149-396
2ox6D00 1.10.3100.10.1 D.6-166
3lovA03 1.10.3110.10.1 A.105-201
2nsaA00 1.10.3120.10.1 A.2-168
1u8vA01 1.10.3140.10.1 A.1-143
1yozA00 1.10.3200.10.1 A.1-116
3m1tA00 1.10.3210.10.1 A.1-275
3tm8B00 1.10.3210.10.2 B.22-328
3i7aA00 1.10.3210.10.3 A.3-281
1xn8A00 1.10.3230.10.1 A.1-131
2r4fD01 1.10.3270.10.1 D.24-102
5cklA00 1.10.3290.10.1 A.7-187
4n67A00 1.10.3290.10.2 A.8-221
3o7iA00 1.10.3330.10.1 A.24-189
3fybB00 1.10.3340.10.1 B.1-88
4u12A00 1.10.3350.10.1 A.13-92
5awwY00 1.10.3370.10.1 Y.1-424
2oa5A01 1.10.3390.10.1 A.6-91
3bg2A03 1.10.3410.10.1 A.245-359
2yf4F00 1.10.3420.10.1 F.2-150
3b9wA00 1.10.3430.10.1 A.8-369
2nq2A00 1.10.3470.10.1 A.6-330
1s9uA00 1.10.3480.10.1 A.1-207
3bzcA02 1.10.3500.10.1 A.115-327,456-502
3bg2A02 1.10.3550.10.1 A.121-156,360-441
3hhwK01 1.10.3570.10.1 K.36-218
3hhwK02 1.10.3610.10.1 K.221-420
4q68A01 1.10.3670.10.1 A.1-104,119-152
2h5nC00 1.10.3680.10.1 C.10-133
2r9gA02 1.10.3710.10.1 A.106-131,149-197
3ckcA03 1.10.3780.10.1 A.284-387
2oqoA00 1.10.3810.10.1 A.14-200
6r7rB00 1.10.3860.10.1 B.17-430
1t07A00 1.10.3880.10.1 A.1-81
2fi0A00 1.10.3910.10.1 A.3-81
1s9rA02 1.10.3930.10.1 A.75-152
1g8eB00 1.10.4000.10.1 B.3-82
1w2yA00 1.10.4010.10.1 A.1-229
3lhrB00 1.10.4020.10.1 B.1-93
3rgcA01 1.10.4030.10.1 A.1-131,210-251
2hp0A01 1.10.4100.10.1 A.5-287,419-466
1gzsB00 1.10.4120.10.1 B.1-165
1mz9A00 1.20.5.10.1 A.1-45
1debB00 1.20.5.10.2 B.2-54
3r2pA02 1.20.5.20.1 A.140-183
1aq5A00 1.20.5.30.1 A.1-47
1jy2O00 1.20.5.50.1 O.4-54
1jy2S00 1.20.5.50.2 S.2-48
1fzcA00 1.20.5.50.3 A.9-82
2oyhA00 1.20.5.50.4 A.2-65
1jy2N00 1.20.5.50.5 N.7-49
1lwuC03 1.20.5.50.6 C.5-66
1fzcB03 1.20.5.50.7 B.18-68
1lwuB03 1.20.5.50.8 B.7-66
1fzcC03 1.20.5.50.9 C.10-56
1t3uA02 1.20.5.50.10 A.49-97
1n73D00 1.20.5.50.11 D.20-109
2oyhE01 1.20.5.50.12 E.17-53
3ghgC01 1.20.5.50.13 C.14-143
3ghgB01 1.20.5.50.14 B.58-196
3ghgJ01 1.20.5.50.15 J.46-195
1m1jA00 1.20.5.50.16 A.27-218
2j58A04 1.20.5.70.1 A.325-356
1afoA00 1.20.5.70.2 A.1-40
1hgvA00 1.20.5.80.1 A.1-46
2c0wA00 1.20.5.80.2 A.1-50
1vpcA00 1.20.5.90.1 A.1-45
3plnA02 1.20.5.100.1 A.226-257
3gg2A02 1.20.5.100.2 A.205-236
2qjyB02 1.20.5.100.3 B.222-256
1ppjD01 1.20.5.100.4 D.197-240
2qjpB02 1.20.5.100.5 B.222-256
5hlaA01 1.20.5.100.6 A.10-39
3vmaA01 1.20.5.100.7 A.36-60
3gw6A04 1.20.5.100.8 A.246-274
2k9jB00 1.20.5.100.9 B.1-43
2jwaA00 1.20.5.100.10 A.1-44
2kncB00 1.20.5.100.11 B.1-79
4wy4B00 1.20.5.110.1 B.1-58
3pp5A01 1.20.5.110.2 A.8-68
1n7sA00 1.20.5.110.3 A.1-63
4wy4A00 1.20.5.110.4 A.1-64
3b5nE00 1.20.5.110.5 E.4-61
4wy4D00 1.20.5.110.6 D.1-65
3b5nL00 1.20.5.110.7 L.2-63
1n7sD00 1.20.5.110.8 D.1-66
3b5nK00 1.20.5.110.9 K.4-68
1n7sB00 1.20.5.110.10 B.1-68
1gl2B00 1.20.5.110.11 B.5-64
1gl2C00 1.20.5.110.12 C.4-63
2xdjF00 1.20.5.110.13 F.3-64
1urqA00 1.20.5.110.14 A.5-62
1gl2D00 1.20.5.110.15 D.8-62
1jthA00 1.20.5.110.16 A.11-72
4w7zC00 1.20.5.110.17 C.5-63
3zdoB00 1.20.5.110.18 B.6-67
2xdjB00 1.20.5.110.19 B.2-68
1urqB00 1.20.5.110.20 B.12-75
3zdoC00 1.20.5.110.21 C.8-70
2erlA00 1.20.50.10.1 A.1-40
1dd9A03 1.20.50.20.1 A.273-331
3edvA01 1.20.58.60.1 A.4-140
3f31B00 1.20.58.60.2 B.10-149
3uumB00 1.20.58.60.3 B.1-123
2spcA00 1.20.58.60.4 A.1-107
2odvA01 1.20.58.60.5 A.8-120
1u5pA01 1.20.58.60.6 A.2-109
1quuA01 1.20.58.60.7 A.1-126
1cunA02 1.20.58.60.8 A.1-103
2odvA02 1.20.58.60.9 A.121-225
1cunA01 1.20.58.60.10 A.104-205
3edvA02 1.20.58.60.11 A.141-323
1quuA02 1.20.58.60.12 A.127-248
1s35A02 1.20.58.60.13 A.103-212
1hciA01 1.20.58.60.14 A.2-127
3fb2A01 1.20.58.60.15 A.8-112
3eduA00 1.20.58.60.16 A.1-204
1s35A01 1.20.58.60.17 A.2-102
1hciA04 1.20.58.60.18 A.363-476
3lbxB01 1.20.58.60.19 B.1-109
3pdyA00 1.20.58.60.20 A.7-208
3pe0A02 1.20.58.60.21 A.108-188,256-280
5j1gA00 1.20.58.60.22 A.5-232
3pe0A01 1.20.58.60.23 A.7-107
3lbxB02 1.20.58.60.24 B.110-184
3r6nB01 1.20.58.60.25 B.2-225
3kbtA00 1.20.58.60.26 A.5-309
1g8xA06 1.20.58.60.27 A.692-1010
1owaA02 1.20.58.60.28 A.51-156
4tx5B00 1.20.58.70.1 B.13-179
