3vkgB04 1.10.8.710.1 B.739-869
2d7lA01 1.10.30.10.20 A.10-62
4a15A02 1.10.30.20.1 A.87-167
3ci0K03 1.10.40.60.2 K.187-256
2d28C01 1.10.40.70.1 C.2-63
3f4sA02 1.10.40.80.1 A.86-149
4bbyA06 1.10.45.10.6 A.618-658
2mvtA00 1.10.60.50.1 A.1-47
2kjiA00 1.10.100.10.4 A.1-50
1lbuA01 1.10.101.10.5 A.1-84
1w2qA01 1.10.110.10.12 A.15-127
2lvfA00 1.10.110.10.13 A.1-114
4h3tA02 1.10.132.100.1 A.394-534
4an8A02 1.10.132.100.2 A.368-500
3wvoC02 1.10.132.100.3 C.414-549
3iv6A02 1.10.150.330.1 A.152-216
4fe3A02 1.10.150.340.1 A.66-139
4nv0A02 1.10.150.340.2 A.66-147
3gu3A02 1.10.150.350.1 A.131-164,193-266
1szhA01 1.10.150.360.1 A.4-68
1szhA02 1.10.150.370.1 A.69-150
1zq1C03 1.10.150.380.1 C.456-512
4aybC02 1.10.150.390.1 C.341-386
1ynjJ03 1.10.150.390.2 J.1431-1494
2om6A02 1.10.150.400.1 A.17-95
3vc8B00 1.10.150.420.1 B.6-90
2lkyA00 1.10.150.430.1 A.1-112
2m0nA00 1.10.150.430.2 A.1-112
2kvcA01 1.10.150.430.3 A.3-90
2knjA00 1.10.150.440.1 A.1-90
3opxA02 1.10.150.450.1 A.43-112
3nuqA01 1.10.150.450.2 A.3-31,72-141
3icxA02 1.10.150.460.1 A.37-88
2f8lA01 1.10.150.470.1 A.14-98
5a0lA02 1.10.150.480.1 A.83-181
2xi9A03 1.10.150.480.2 A.196-296
2f76X00 1.10.150.490.1 X.1-100
2xvtC00 1.10.150.510.1 C.13-91
3n7sD00 1.10.150.510.2 D.6-89
2hoqA02 1.10.150.520.1 A.16-94
3rfaA01 1.10.150.530.1 A.17-78
3rf9B01 1.10.150.530.2 B.14-78
3sqiA01 1.10.150.540.1 A.1-103
3t5qG01 1.10.150.550.1 G.22-38,98-128,284-327,341-352
1urjA03 1.10.150.560.1 A.1039-1130
4wnkA01 1.10.167.10.12 A.24-179,507-541
4yhjB01 1.10.167.10.13 B.25-179,470-527
3jamI03 1.10.168.20.2 I.107-164
5reqB03 1.10.196.20.1 B.19-61
4kn7X01 1.10.220.120.1 X.6-64
2k6xA00 1.10.220.120.2 A.1-72
2olmA00 1.10.220.150.1 A.2-134
2p57A00 1.10.220.150.2 A.18-141
2iqjB00 1.10.220.150.3 B.12-134
2rqyA01 1.10.225.10.12 A.25-101
1a59A02 1.10.230.10.5 A.223-330
3s0aA00 1.10.238.20.2 A.1-119
1oohA00 1.10.238.20.3 A.1-126
5dicA00 1.10.238.20.4 A.1-115
4inwA00 1.10.238.20.5 A.1-140
3l4aA00 1.10.238.20.6 A.4-137
3cz1A00 1.10.238.20.7 A.3-119
1ow4A00 1.10.238.20.8 A.10-129
4pt1B00 1.10.238.20.9 B.4-131
3ognA01 1.10.238.20.10 A.11-117
2wcjA00 1.10.238.20.11 A.1-141
3dxlA01 1.10.238.20.12 A.1-147
3v2lA00 1.10.238.20.13 A.1-120
3nhiA02 1.10.238.20.14 A.150-296
3dxlA02 1.10.238.20.15 A.148-303
3nhiA01 1.10.238.20.16 A.1-149
3r1vA00 1.10.238.20.17 A.4-127
2qebA00 1.10.238.20.18 A.1-145
4jd9G00 1.10.238.20.19 G.1-122
1tujA00 1.10.238.20.20 A.1-123
1c3yA00 1.10.238.20.21 A.1-108
1dekA02 1.10.238.70.1 A.33-154
2cyaA02 1.10.240.10.17 A.215-361
2yy5A02 1.10.240.10.18 A.193-311
1v32A00 1.10.245.10.7 A.1-101
1vw4L02 1.10.246.170.1 L.137-221
2xmoA02 1.10.246.180.1 A.350-435
4tq1A03 1.10.246.190.1 A.131-188
2dyoA02 1.10.246.190.2 A.137-196
2mqkA00 1.10.260.40.73 A.1-65
1rzsA00 1.10.260.40.74 A.1-61
1uxdA00 1.10.260.40.75 A.1-59
2l49B01 1.10.260.40.76 B.5-57
2mezA00 1.10.260.40.77 A.1-102
3a9zA02 1.10.260.50.1 A.31-76,283-326
3uwpA01 1.10.260.60.1 A.22-142
3nzlA00 1.10.260.70.1 A.7-79
3m9lA02 1.10.260.80.1 A.19-69
2j7uA04 1.10.260.90.1 A.128-181,205-223
5mtvA01 1.10.268.20.1 A.1-45,271-385
2a6hD05 1.10.274.100.2 D.768-953
4c2mA05 1.10.274.100.3 A.657-827
3crvA02 1.10.275.30.1 A.193-300
2vl7A02 1.10.275.30.2 A.196-305
2lo0A00 1.10.286.70.2 A.31-75
1ej6D02 1.10.287.1520.2 D.331-388
2hfnB02 1.10.287.1540.1 B.101-143
1x0pE02 1.10.287.1540.2 E.98-142
1zroA02 1.10.287.1660.1 A.283-317
4gf2A02 1.10.287.1660.2 A.281-315
3etzB00 1.10.287.1700.1 B.4-118
3ajwA00 1.10.287.1700.2 A.6-141
3k29A00 1.10.287.1700.3 A.3-163
4mh6A00 1.10.287.1700.4 A.14-172
3a1sA02 1.10.287.1770.1 A.170-257
3i8sB02 1.10.287.1770.2 B.175-261
3tahA02 1.10.287.1770.3 A.174-261
3ibyD02 1.10.287.1770.4 D.173-256
3k53A02 1.10.287.1770.5 A.171-268
3if8B01 1.10.287.1880.1 B.12-75
3lecA02 1.10.287.1890.1 A.168-228
3gnlB02 1.10.287.1890.2 B.169-236
3hhdA05 1.10.287.1960.1 A.685-744
3ihjA02 1.10.287.1970.1 A.80-117
3tcmA02 1.10.287.1970.2 A.77-127
2gytA01 1.10.287.2070.1 A.4-74
2h80A01 1.10.287.2070.2 A.12-79
3neuA02 1.10.287.2110.1 A.80-123
4r1hA02 1.10.287.2110.2 A.78-121
3ilxA02 1.10.287.2170.1 A.100-143
3lhkC02 1.10.287.2170.2 C.103-146
1vsy300 1.10.287.2210.1 3.1-76
3n40P01 1.10.287.2230.1 P.1-56
6immR00 1.10.287.2230.2 R.8-54
3f75P00 1.10.287.2250.1 P.16-90
2l95A00 1.10.287.2250.2 A.1-80
2g7oA00 1.10.287.2320.1 A.3-70
3on0C02 1.10.287.2320.2 C.58-119
3qkaA02 1.10.287.2460.1 A.204-240
4qfeK02 1.10.287.2460.2 K.204-237
3l3sC02 1.10.287.2460.3 C.208-247
3l3sB02 1.10.287.2460.4 B.208-248
4z0mB02 1.10.287.2460.5 B.199-241
3r9qB02 1.10.287.2460.6 B.207-249
3rkiA02 1.10.287.2480.1 A.63-217,455-508
1g5gA02 1.10.287.2480.2 A.25-259
1ztmA02 1.10.287.2480.3 A.24-269
3rq9A00 1.10.287.2500.1 A.2-79
3stqF00 1.10.287.2500.2 F.21-97
2lg1A01 1.10.287.2510.1 A.1-70
3vkgA12 1.10.287.2610.1 A.1894-2115
3vkhB13 1.10.287.2610.2 B.1894-2212
3vkhB01 1.10.287.2620.1 B.112-175
1zhxA02 1.10.287.2720.1 A.34-120
3vw4A01 1.10.340.50.1 A.4-95
2w02B06 1.10.340.60.1 B.410-438,494-556
5fglA00 1.10.357.10.131 A.1-204
3nnrA00 1.10.357.10.132 A.5-215
2oi8A00 1.10.357.10.133 A.8-216
5d1rB00 1.10.357.10.134 B.14-239
3fiwA02 1.10.357.10.135 A.80-211
2np3B02 1.10.357.10.136 B.83-210
3f0cA02 1.10.357.10.137 A.59-205
1jusA02 1.10.357.10.138 A.51-185
3nrgA00 1.10.357.10.139 A.1-216
3c07B00 1.10.357.10.140 B.38-251
3ljlA00 1.10.357.10.141 A.8-156
2wuiA00 1.10.357.10.142 A.9-209
3npiB00 1.10.357.10.143 B.18-227
4nn1A00 1.10.357.10.144 A.6-210
4g12A02 1.10.357.10.145 A.67-215
4u9nA00 1.10.357.20.1 A.2-178
1eiaA01 1.10.375.10.7 A.1-133
4fgmA02 1.10.390.10.12 A.174-448
4ar9A02 1.10.390.20.1 A.145-286
2xtzB02 1.10.400.10.6 B.38-163
3we0A03 1.10.405.40.1 A.144-280
2igpA00 1.10.418.30.1 A.6-119
4ddpA00 1.10.418.40.1 A.8-207
3vp7A00 1.10.418.40.2 A.1-219
5fmuC01 1.10.418.50.1 C.7-136
3vlmB02 1.10.420.10.9 B.188-390
2me8A00 1.10.437.10.21 A.1-212
3jrvA00 1.10.437.20.1 A.6-149
4lqkA00 1.10.437.20.2 A.4-135
3fgrA02 1.10.439.20.1 A.69-202
4e0pA02 1.10.443.30.1 A.215-440
2o5cB02 1.10.460.10.4 B.157-216,489-658
1fkmA02 1.10.472.80.5 A.196-383
3qyeA03 1.10.472.80.6 A.178-325
4locA03 1.10.472.90.1 A.390-508
3bg3B03 1.10.472.90.2 B.389-509
2kr6A01 1.10.472.100.1 A.63-168
3h4cA02 1.10.472.110.1 A.105-227
1qhhC00 1.10.486.10.7 C.1-102
5nb4A00 1.10.490.20.2 A.1-164
3l0fA00 1.10.490.20.3 A.1-162
4po5A00 1.10.490.20.4 A.2-163
4po5B00 1.10.490.20.5 B.1-161
4xxiA00 1.10.490.20.6 A.2-148
1colA00 1.10.490.30.1 A.5-201
2i88A00 1.10.490.30.2 A.14-191
1nf1A01 1.10.506.10.7 A.9-55,288-332
2hw6A02 1.10.510.10.120 A.93-301
4qd6B00 1.10.510.10.121 B.1-265
3cokA02 1.10.510.10.122 A.97-267
5ng0A00 1.10.510.10.123 A.10-304
1zarA03 1.10.510.10.124 A.185-281
1s9iA02 1.10.510.10.125 A.98-339
5lohA02 1.10.510.10.126 A.120-312
4lrjA02 1.10.510.10.127 A.80-169
5l4qB00 1.10.510.10.128 B.7-307
4m66B00 1.10.510.10.129 B.14-313
5gzaA00 1.10.510.10.130 A.1-290
3f7wA02 1.10.510.10.131 A.92-122,186-250
6f7bA02 1.10.510.10.132 A.60-359
4q5eA02 1.10.510.10.133 A.79-171
4cyiE01 1.10.510.10.134 E.13-295
4h79A00 1.10.520.40.2 A.13-196
5h9fB00 1.10.520.40.3 B.8-164
139lA00 1.10.530.40.4 A.1-162
2o7aA00 1.10.530.40.5 A.2-124
3hdeC00 1.10.530.40.6 C.1-164
3crdA00 1.10.533.10.45 A.1-100
1dgnA00 1.10.533.10.46 A.1-89
2m5vA00 1.10.533.10.47 A.1-102
1ichA00 1.10.533.10.48 A.13-99
2gf5A01 1.10.533.10.49 A.1-86
1wxpA01 1.10.533.10.50 A.16-99
5k3hA01 1.10.540.10.29 A.26-146
4xvxA01 1.10.540.10.30 A.8-118
4rm7A01 1.10.540.10.31 A.2-123
1f7cA00 1.10.555.10.14 A.31-221
3eapD00 1.10.555.10.15 D.14-267
4aolQ01 1.10.560.10.8 Q.7-149,418-549
4n1yB00 1.10.565.10.28 B.6-232
4j5xC00 1.10.565.10.29 C.2-260
2xhsA00 1.10.565.10.30 A.1-244
2j07A03 1.10.579.10.5 A.259-420
3lomA00 1.10.600.10.42 A.4-306
3we9A00 1.10.600.10.43 A.2-273
1v4eA00 1.10.600.10.44 A.9-288
3aq0B00 1.10.600.10.45 B.9-348
5eroA00 1.10.600.10.46 A.43-349
1za0A00 1.10.620.20.17 A.8-274
3u52B00 1.10.620.20.18 B.6-498
2hi4A00 1.10.630.10.52 A.10-489
6m7xB00 1.10.630.10.53 B.11-479
3mgxB00 1.10.630.10.54 B.25-415
3wecA00 1.10.630.10.55 A.11-411
4ze1A01 1.10.630.10.56 A.53-534
5irqD00 1.10.630.10.57 D.13-485
4y8wA00 1.10.630.10.58 A.10-466
5aa5E00 1.10.645.10.4 E.21-579
2mphA01 1.10.720.80.1 A.1-87
2lc3A00 1.10.720.80.2 A.1-88
1y02A01 1.10.720.140.1 A.30-111
1qu3A04 1.10.730.10.16 A.634-783
3ziuA01 1.10.730.10.17 A.1-34,421-637
4pwaD00 1.10.760.10.50 D.2-88
1h1oA02 1.10.760.10.51 A.100-183
3mk7C02 1.10.760.10.52 C.95-185,277-303
2blfB01 1.10.760.10.53 B.19-81
1h1oA01 1.10.760.10.54 A.12-86
3cx5D01 1.10.760.10.55 D.4-200
2ktmA00 1.10.790.10.6 A.22-89
3t6gC00 1.10.840.10.7 C.32-318
3bgwA01 1.10.860.10.8 A.14-150
2lrmA00 1.10.890.30.1 A.7-90
1q8cA00 1.10.940.10.6 A.12-151
3d1lA02 1.10.1040.20.1 A.168-266
2i76B02 1.10.1040.20.2 B.156-256
1ofcX01 1.10.1040.30.1 X.10-108
2nogA01 1.10.1040.30.2 A.20-89
2y9yA01 1.10.1040.30.3 A.30-121
3dfuA02 1.10.1040.40.1 A.132-230
1kf6B02 1.10.1060.10.4 B.106-243
1jniA00 1.10.1130.10.7 A.36-103
1i3oF00 1.10.1170.10.9 F.16-117
3h0dA02 1.10.1200.150.1 A.72-155
2bhvB02 1.10.1200.160.1 B.167-211
2bhvA02 1.10.1200.160.2 A.180-211
2cwoA02 1.10.1200.170.1 A.115-197
2dgyA02 1.10.1200.180.1 A.80-111
2p9xA00 1.10.1200.200.1 A.2-99
5bs1A00 1.10.1200.210.1 A.2-122
3q20B00 1.10.1200.210.2 B.2-107
2koeA00 1.10.1220.70.1 A.1-40
2adlA01 1.10.1220.80.1 A.12-41
2jbvA03 1.10.1220.110.1 A.105-161
4aaiA01 1.10.1220.150.1 A.17-73
4wkyA02 1.10.1240.100.2 A.480-563
4zdnA02 1.10.1240.100.3 A.484-606
1oy5A02 1.10.1270.20.7 A.179-235
2y9wA00 1.10.1280.10.9 A.1-391
3v93F01 1.10.1300.10.9 F.36-344
2oznB02 1.10.1330.10.7 B.82-132
5l44A01 1.10.1370.40.1 A.22-159,356-547,615-683
4em6A03 1.10.1390.10.4 A.514-552
4hstB03 1.10.1400.10.5 B.291-419
5x9cA01 1.10.1410.40.3 A.7-21,214-336
2o8bA04 1.10.1420.10.11 A.471-553
1vw4501 1.10.1520.10.11 5.65-298
4h8aB01 1.10.1530.10.9 B.5-64
1pm6A00 1.10.1660.20.2 A.1-72
3ez2A01 1.10.1660.30.1 A.37-106
3n5nX01 1.10.1670.10.16 X.4-31,153-245
4b21A01 1.10.1670.40.1 A.21-56,174-228
2qvwB05 1.10.1740.150.1 B.435-466,497-547
1vt0M02 1.10.1740.160.1 M.39-72,313-335,397-429
2rjiA00 1.10.1740.170.1 A.1-84
3p5nA00 1.10.1760.20.10 A.10-188
4hh5A00 1.10.1780.10.8 A.1-163
3sqnA02 1.10.1790.40.1 A.155-272
2lklA01 1.10.1900.40.1 A.10-81
5bpbA00 1.10.2000.10.4 A.6-124
2q01A02 1.10.2020.10.4 A.54-153
3nphB00 1.10.3130.20.1 B.5-135
1w33A00 1.10.3160.10.4 A.1-181
1xx7A00 1.10.3210.10.31 A.9-180
6oi7A01 1.10.3210.10.32 A.2-121,182-257
3sk9A00 1.10.3210.30.1 A.9-265
4q2cA01 1.10.3210.30.2 A.24-286
3l2pA01 1.10.3260.10.4 A.4-208
3cucA00 1.10.3290.10.10 A.5-283
4a4zA03 1.10.3380.30.3 A.512-539,797-997
4p3fA00 1.10.3450.40.1 A.18-214
2o01401 1.10.3460.10.4 4.1-137
4k84A00 1.10.3520.10.4 A.10-215
3b1fA02 1.10.3660.10.4 A.180-289
4tquM01 1.10.3720.10.6 M.53-297
1s7bA00 1.10.3730.20.1 A.5-110
2yzvA00 1.10.4080.10.4 A.3-300
1qx8A00 1.20.5.1220.1 A.5-51
1av1A00 1.20.5.1230.1 A.1-201
3gw6A02 1.20.5.1240.1 A.135-186
1kaeA03 1.20.5.1300.1 A.106-120,392-431
4g09A03 1.20.5.1300.2 A.106-120,393-432
2nxcA02 1.20.5.1350.1 A.56-96
1wu9B00 1.20.5.1430.1 B.3-69
1wu9A00 1.20.5.1430.2 A.3-61
1txqB00 1.20.5.1430.3 B.10-73
4e61B00 1.20.5.1430.4 B.1-100
3s13B01 1.20.5.1450.1 B.74-101
2ghjA01 1.20.5.1450.2 A.18-49
2ghjB01 1.20.5.1450.3 B.27-52
2xusA00 1.20.5.1500.1 A.5-45
3gywA01 1.20.5.1500.2 A.3-60
4jnhA02 1.20.5.1500.3 A.159-199
2e50P01 1.20.5.1500.4 P.1-79
2a7kH02 1.20.5.1610.1 H.198-231
2a7kE02 1.20.5.1610.2 E.198-236
3cveB00 1.20.5.1700.1 B.2-70
3i00A00 1.20.5.1700.2 A.10-85
2x7aA00 1.20.5.1700.3 A.3-61
4pkyE00 1.20.5.1700.4 E.1-50
2xg7C00 1.20.5.1700.5 C.27-101
2qa7A00 1.20.5.1700.6 A.4-102
3mkxD00 1.20.5.1700.7 D.10-110
3fwbB00 1.20.5.1760.1 B.2-55
2gv5C00 1.20.5.1760.2 C.1-73
2gumA02 1.20.5.1890.1 A.15-39,396-471
3fvcA02 1.20.5.1890.2 A.30-49,426-505
3ehhA01 1.20.5.1930.1 A.16-88
3ehhB01 1.20.5.1930.2 B.19-88
3f1iS00 1.20.5.1940.1 S.1-77
3f1iH00 1.20.5.1940.2 H.1-98
2pjwV00 1.20.5.1940.3 V.1-91
2pjwH00 1.20.5.1940.4 H.1-88
3hjlA03 1.20.5.2020.1 A.197-237
3uswA02 1.20.5.2020.2 A.119-160
3igmA00 1.20.5.2050.1 A.4-59
3igmB00 1.20.5.2050.2 B.4-65
2k8oA00 1.20.5.2120.1 A.1-60
2clyA00 1.20.5.2210.1 A.79-183
2wssT00 1.20.5.2210.2 T.24-109
2vgoC01 1.20.5.2230.1 C.1-29
4af3D01 1.20.5.2230.2 D.8-37
3lt7C00 1.20.5.2280.1 C.4-62
2yo3A04 1.20.5.2280.2 A.190-258
3tsoC00 1.20.5.2440.1 C.12-65
2d7cC00 1.20.5.2440.2 C.1-42
2hv8D00 1.20.5.2440.3 D.11-64
2k6sA00 1.20.5.2440.4 A.1-41
2g31A01 1.20.5.2480.1 A.7-60
2ko2A00 1.20.5.2480.2 A.13-79
3sb1A02 1.20.5.2620.1 A.141-160
3pieC08 1.20.5.2620.2 C.985-1006
5xxuG02 1.20.5.2650.1 G.131-221
1a91A00 1.20.20.10.4 A.1-79
2lmkA00 1.20.50.60.1 A.1-57
3k8pC01 1.20.58.1440.1 C.4-165
3l09A01 1.20.58.1460.1 A.8-21,167-250
3kfwX03 1.20.58.1460.2 X.160-235
4ie5A02 1.20.58.1470.1 A.321-454
5fqdB03 1.20.58.1480.1 B.233-302
3m65A02 1.20.58.1480.2 A.121-208
3ljcA02 1.20.58.1480.3 A.127-251
3nbxX03 1.20.58.1510.1 X.288-332,444-499
3nrxA00 1.20.58.1520.1 A.3-130
3okqA00 1.20.58.1540.1 A.6-130
5taoA02 1.20.58.1560.1 A.333-432
3oyxA02 1.20.58.1560.2 A.333-432
3q5wA00 1.20.58.1590.1 A.39-236
3rkoA00 1.20.58.1610.1 A.15-126
6g2jA00 1.20.58.1610.2 A.2-115
6humC00 1.20.58.1610.3 C.13-126
3rrwA02 1.20.58.1620.1 A.164-233
4a56A00 1.20.58.1630.1 A.1-93
3wajA03 1.20.58.1650.1 A.640-670,702-770
3zciA00 1.20.58.1660.1 A.1-212
4bjmC00 1.20.58.1680.1 C.1-228
4g2aA02 1.20.58.1690.1 A.236-322
4gysA02 1.20.58.1700.1 A.318-338,340-391
4issA02 1.20.58.1700.2 A.318-393
4h63H01 1.20.58.1710.1 H.3-74
4hteA01 1.20.58.1730.1 A.13-155
4hteA02 1.20.58.1740.1 A.156-272
4kp3C00 1.20.58.1770.1 C.20-100
5haxA01 1.20.58.1780.1 A.2-22,489-740
4mhcA01 1.20.58.1780.2 A.21-40,549-825
4o8sA02 1.20.58.1790.1 A.126-232
4ofzA01 1.20.58.1800.1 A.85-201
2cmrA00 1.20.58.1860.1 A.1-216
1wy5A02 1.20.59.20.1 A.218-311
4jk8A02 1.20.80.40.1 A.154-222
3sbtA02 1.20.80.40.2 A.162-254
3c1qA00 1.20.81.30.1 A.3-117
2wjnL02 1.20.85.10.4 L.167-274
2wg7A00 1.20.90.10.5 A.4-127
3cu7A08 1.20.91.20.3 A.679-759
2fgyA01 1.20.120.1310.1 A.66-172
2j0wA02 1.20.120.1320.1 A.42-134
2cdqA02 1.20.120.1320.2 A.67-163
2h7oA01 1.20.120.1330.1 A.10-152
4cs9A00 1.20.120.1350.1 A.5-172
4cs9B02 1.20.120.1350.2 B.65-171
2l9jA00 1.20.120.1350.3 A.3-121
2lseA00 1.20.120.1360.1 A.1-101
4xwjA00 1.20.120.1370.1 A.15-167
2px0A01 1.20.120.1380.1 A.39-99,285-296
2r7rA02 1.20.120.1390.1 A.84-236
2r7rA08 1.20.120.1400.1 A.922-1007
2vh3A00 1.20.120.1410.1 A.1-112
4cihA00 1.20.120.1420.1 A.1-146
2xrhA00 1.20.120.1430.1 A.1-100
2xseA00 1.20.120.1440.1 A.5-169
3aqbA00 1.20.120.1450.1 A.4-138
3b0pA02 1.20.120.1460.1 A.244-318
4bjtA01 1.20.120.1480.1 A.51-152
3itfA00 1.20.120.1490.1 A.35-145
5wnwA00 1.20.120.1490.2 A.1-96
2y39A00 1.20.120.1490.3 A.9-118
3layJ00 1.20.120.1490.4 J.67-147
6cgvM01 1.20.120.1500.1 M.1-134
3k7dA01 1.20.120.1510.1 A.1-113
3l0iA01 1.20.120.1520.1 A.28-212
4i3mA00 1.20.120.1530.1 A.10-159
3nrhA00 1.20.120.1550.1 A.6-175
3o6xA02 1.20.120.1560.1 A.581-728
3t4rA00 1.20.120.1590.1 A.3-74
3vayA02 1.20.120.1600.1 A.16-102
